industrial_20,site_traffic,Dim.1,Dim.2,Dim.3,Dim.4
Industrial,High,1.49 (5.16),1.24 (3.95),0.08 (1.72),-0.10 (1.57)
Industrial,Low,-1.07 (1.05),-0.80 (0.74),-0.22 (0.81),0.41 (0.76)
Non-Industrial,High,-0.51 (0.69),-0.51 (0.71),0.15 (0.90),-0.24 (0.59)
Non-Industrial,Low,-1.19 (1.00),-0.99 (0.76),-0.08 (0.90),0.07 (0.72)
