"site_type","tb_ratio","xe_ratio","benzene","toluene","ethylbenzene","m_p_xylene_2","o_xylene"
"rotating","1.76 (0.51)","6.12 (0.67)","1.35 (0.64)","2.24 (1.00)","0.56 (0.24)","3.48 (1.62)","0.77 (0.31)"
"stationary","1.83 (0.56)","6.72 (0.95)","1.37 (0.91)","2.36 (1.38)","0.73 (0.88)","4.79 (4.56)","1.06 (1.22)"
