variable_name_messy,Overall,High,Low,p,test,variable_name,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
pentane_2_4_dimethyl (median [IQR]),"0.34 [0.23, 0.61]","0.46 [0.30, 0.84]","0.27 [0.20, 0.38]",<0.001,nonnorm,pentane_2_4_dimethyl,"2,4-​Dimethylpentane",pentane_2_4_dimethyl,100.205,Alkanes,Other Alkanes,5,7
pentane_2_3_4_trimethyl (median [IQR]),"0.44 [0.28, 0.76]","0.60 [0.36, 1.13]","0.35 [0.23, 0.48]",<0.001,nonnorm,pentane_2_3_4_trimethyl,"2,3,4-​Trimethylpentane",pentane_2_3_4_trimethyl,114.232,Alkanes,Other Alkanes,5,8
cyclohexane_methyl (median [IQR]),"1.61 [1.02, 3.22]","2.28 [1.32, 4.93]","1.24 [0.83, 1.80]",<0.001,nonnorm,cyclohexane_methyl,Methylcyclohexane,cyclohexane_methyl,98.189,Cyclohexanes,Other Alkanes,5,9
x1_hexene (median [IQR]),"0.20 [0.11, 0.31]","0.25 [0.15, 0.39]","0.16 [0.09, 0.23]",<0.001,nonnorm,x1_hexene,1-​Hexene,x1_hexene,84.162,Alkenes,Alkenes,6,1
x2_pentene_z_cis (median [IQR]),"0.04 [0.02, 0.08]","0.05 [0.03, 0.10]","0.03 [0.01, 0.06]",<0.001,nonnorm,x2_pentene_z_cis,cis-​2-​Pentene,x2_pentene_z_cis,70.1329,Alkenes,Alkenes,6,2
x1_3_butadiene_2_methyl (median [IQR]),"0.03 [0.01, 0.10]","0.01 [0.01, 0.09]","0.03 [0.01, 0.12]",0.095,nonnorm,x1_3_butadiene_2_methyl,Isoprene,x1_3_butadiene_2_methyl,68.12,Alkenes,Alkenes,6,3
x2_hexanone (median [IQR]),"0.01 [0.01, 0.01]","0.01 [0.01, 0.01]","0.01 [0.01, 0.01]",0.154,nonnorm,x2_hexanone,2-​Hexanone,x2_hexanone,100.161,Ketones,Ketones,7,1
methyl_isobutyl_ketone (median [IQR]),"0.00 [0.00, 0.04]","0.00 [0.00, 0.04]","0.00 [0.00, 0.04]",0.045,nonnorm,methyl_isobutyl_ketone,Methyl isobutyl ketone,methyl_isobutyl_ketone,100.16,Ketones,Ketones,7,2
trichloromethane (median [IQR]),"0.17 [0.14, 0.20]","0.17 [0.14, 0.20]","0.17 [0.14, 0.21]",0.627,nonnorm,trichloromethane,Chloroform,trichloromethane,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
carbon_tetrachloride (median [IQR]),"1.74 [1.26, 2.12]","1.74 [1.26, 2.12]","1.74 [1.27, 2.13]",0.785,nonnorm,carbon_tetrachloride,Carbon tetrachloride,carbon_tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
tetrachloroethylene (median [IQR]),"0.12 [0.09, 0.16]","0.12 [0.09, 0.18]","0.12 [0.09, 0.16]",0.570,nonnorm,tetrachloroethylene,Tetrachloroethylene,tce,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
trichloromonofluoromethane (median [IQR]),"0.61 [0.31, 0.94]","0.61 [0.32, 0.94]","0.61 [0.29, 0.93]",0.633,nonnorm,trichloromonofluoromethane,Trichlorofluoromethane,trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
benzene_1_2_dichloro (median [IQR]),"0.11 [0.07, 0.16]","0.09 [0.05, 0.12]","0.16 [0.11, 0.22]",<0.001,nonnorm,benzene_1_2_dichloro,"1,2-​Dichlorobenzene",benz12chloro,147.01,Benzene Derivatives,Chlorinated Compounds,8,5
n,408,225,183,,,n,NA,NA,NA,NA,NA,NA,NA
