variable_name_messy,Overall,High,Low,p,test,variable_name,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
pentane_2_3_4_trimethyl (median [IQR]),"0.30 [0.23, 0.44]","0.29 [0.25, 0.42]","0.34 [0.23, 0.45]",0.859,nonnorm,pentane_2_3_4_trimethyl,"2,3,4-​Trimethylpentane",pentane_2_3_4_trimethyl,114.232,Alkanes,Other Alkanes,5,8
cyclohexane_methyl (median [IQR]),"1.11 [0.83, 1.57]","1.11 [0.83, 1.47]","1.11 [0.84, 1.69]",0.610,nonnorm,cyclohexane_methyl,Methylcyclohexane,cyclohexane_methyl,98.189,Cyclohexanes,Other Alkanes,5,9
x1_hexene (median [IQR]),"0.18 [0.10, 0.26]","0.19 [0.14, 0.23]","0.17 [0.10, 0.26]",0.956,nonnorm,x1_hexene,1-​Hexene,x1_hexene,84.162,Alkenes,Alkenes,6,1
x2_pentene_z_cis (median [IQR]),"0.04 [0.02, 0.07]","0.03 [0.03, 0.06]","0.05 [0.01, 0.08]",0.625,nonnorm,x2_pentene_z_cis,cis-​2-​Pentene,x2_pentene_z_cis,70.1329,Alkenes,Alkenes,6,2
x1_3_butadiene_2_methyl (median [IQR]),"0.03 [0.01, 0.06]","0.01 [0.01, 0.06]","0.03 [0.01, 0.07]",0.387,nonnorm,x1_3_butadiene_2_methyl,Isoprene,x1_3_butadiene_2_methyl,68.12,Alkenes,Alkenes,6,3
x2_hexanone (median [IQR]),"0.01 [0.01, 0.01]","0.01 [0.01, 0.01]","0.01 [0.01, 0.01]",0.213,nonnorm,x2_hexanone,2-​Hexanone,x2_hexanone,100.161,Ketones,Ketones,7,1
methyl_isobutyl_ketone (median [IQR]),"0.00 [0.00, 0.04]","0.00 [0.00, 0.00]","0.00 [0.00, 0.04]",0.322,nonnorm,methyl_isobutyl_ketone,Methyl isobutyl ketone,methyl_isobutyl_ketone,100.16,Ketones,Ketones,7,2
trichloromethane (median [IQR]),"0.18 [0.14, 0.21]","0.18 [0.14, 0.21]","0.18 [0.15, 0.22]",0.912,nonnorm,trichloromethane,Chloroform,trichloromethane,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
carbon_tetrachloride (median [IQR]),"1.90 [1.37, 2.28]","1.85 [1.18, 2.29]","1.90 [1.68, 2.28]",0.956,nonnorm,carbon_tetrachloride,Carbon tetrachloride,carbon_tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
tetrachloroethylene (median [IQR]),"0.14 [0.09, 0.17]","0.12 [0.09, 0.15]","0.15 [0.11, 0.18]",0.096,nonnorm,tetrachloroethylene,Tetrachloroethylene,tce,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
trichloromonofluoromethane (median [IQR]),"0.68 [0.34, 1.21]","0.58 [0.30, 0.85]","0.72 [0.49, 1.25]",0.287,nonnorm,trichloromonofluoromethane,Trichlorofluoromethane,trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
benzene_1_2_dichloro (median [IQR]),"0.14 [0.09, 0.19]","0.12 [0.09, 0.19]","0.15 [0.09, 0.19]",0.665,nonnorm,benzene_1_2_dichloro,"1,2-​Dichlorobenzene",benz12chloro,147.01,Benzene Derivatives,Chlorinated Compounds,8,5
n,46,20,26,,,n,NA,NA,NA,NA,NA,NA,NA
