"site_type","tb_ratio","xe_ratio","benzene","toluene","ethylbenzene","m_p_xylene_2","o_xylene"
"rotating","1.72 [1.37, 2.02]","6.28 [5.55, 6.68]","1.31 [0.79, 1.59]","2.05 [1.40, 2.67]","0.50 [0.39, 0.63]","2.95 [2.21, 4.25]","0.68 [0.53, 0.91]"
"stationary","1.75 [1.48, 2.14]","6.80 [6.08, 7.34]","1.19 [0.81, 1.59]","1.90 [1.45, 2.77]","0.52 [0.39, 0.74]","3.39 [2.52, 4.98]","0.75 [0.56, 1.07]"
