"site","site_type","site_id","variable_name","summary","voc_name","mw","category_1","category_2","category_1no","category_2no"
"25th & Point Breeze","stationary",6,"toluene","0.55 (0.39)","Toluene",92.14,"BTEX","BTEX",1,1
"25th & Point Breeze","stationary",6,"etbenz","0.11 (0.07)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"25th & Point Breeze","stationary",6,"xylenes","0.94 (0.56)","Xylenes",106.16,"BTEX","BTEX",1,1
"25th & Point Breeze","stationary",6,"mpxylene","0.78 (0.49)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"25th & Point Breeze","stationary",6,"oxylene","0.16 (0.09)","o-Xylene",106.16,"BTEX","BTEX",1,1
"25th & Point Breeze","stationary",6,"benz1ethyl2methyl","0.02 (0.01)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"25th & Point Breeze","stationary",6,"benz1ethyl3methyl","0.06 (0.04)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"25th & Point Breeze","stationary",6,"benz1ethyl4methyl","0.03 (0.01)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"25th & Point Breeze","stationary",6,"propylbenzene","0.03 (0.02)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"25th & Point Breeze","stationary",6,"mesitylene","0.07 (0.04)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"25th & Point Breeze","stationary",6,"benzene_1_2_3_trimethyl","0.03 (0.02)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"25th & Point Breeze","stationary",6,"benzene_1_4_diethyl","0.02 (0.01)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"25th & Point Breeze","stationary",6,"heptane3methyl","0.12 (0.08)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"25th & Point Breeze","stationary",6,"hexane2methyl","0.17 (0.17)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"25th & Point Breeze","stationary",6,"butane_2_methyl","0.13 (0.09)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"25th & Point Breeze","stationary",6,"pentane_2_methyl","1.19 (1.32)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"25th & Point Breeze","stationary",6,"pentane_3_methyl","0.41 (0.38)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"25th & Point Breeze","stationary",6,"pentane_2_4_dimethyl","0.07 (0.04)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"25th & Point Breeze","stationary",6,"pentane_2_3_4_trimethyl","0.08 (0.05)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"25th & Point Breeze","stationary",6,"hexane_3_methyl","0.39 (0.37)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"25th & Point Breeze","stationary",6,"heptane","0.17 (0.13)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"25th & Point Breeze","stationary",6,"hexane","0.23 (0.23)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"25th & Point Breeze","stationary",6,"nonane","0.09 (0.08)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"25th & Point Breeze","stationary",6,"octane","0.07 (0.05)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"25th & Point Breeze","stationary",6,"decane","0.06 (0.04)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"25th & Point Breeze","stationary",6,"dodecane","0.03 (0.02)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"25th & Point Breeze","stationary",6,"undecane","0.07 (0.04)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"25th & Point Breeze","stationary",6,"cyclohexane_methyl","0.33 (0.19)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"25th & Point Breeze","stationary",6,"x2_pentene_z_cis","0.01 (0.01)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"25th & Point Breeze","stationary",6,"x1_3_butadiene_2_methyl","0.01 (0.05)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"25th & Point Breeze","stationary",6,"x1_hexene","0.04 (0.04)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"25th & Point Breeze","stationary",6,"methyl_isobutyl_ketone","0.00 (0.01)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"25th & Point Breeze","stationary",6,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"25th & Point Breeze","stationary",6,"benz12chloro","0.02 (0.01)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"25th & Point Breeze","stationary",6,"tce","0.02 (0.02)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"25th & Point Breeze","stationary",6,"trichlorofluoromethane","0.11 (0.11)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"25th & Point Breeze","stationary",6,"trichloromethane","0.03 (0.01)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"25th & Point Breeze","stationary",6,"carbon_tetrachloride","0.28 (0.13)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Morris & Point Breeze","stationary",7,"benzene","0.36 (0.22)","Benzene",78.11,"BTEX","BTEX",1,1
"Morris & Point Breeze","stationary",7,"toluene","0.45 (0.30)","Toluene",92.14,"BTEX","BTEX",1,1
"Morris & Point Breeze","stationary",7,"etbenz","0.11 (0.06)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"Morris & Point Breeze","stationary",7,"xylenes","0.87 (0.52)","Xylenes",106.16,"BTEX","BTEX",1,1
"Morris & Point Breeze","stationary",7,"mpxylene","0.70 (0.40)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"Morris & Point Breeze","stationary",7,"oxylene","0.16 (0.08)","o-Xylene",106.16,"BTEX","BTEX",1,1
"Morris & Point Breeze","stationary",7,"benz1ethyl2methyl","0.02 (0.01)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Morris & Point Breeze","stationary",7,"benz1ethyl3methyl","0.06 (0.04)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Morris & Point Breeze","stationary",7,"benz1ethyl4methyl","0.03 (0.01)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Morris & Point Breeze","stationary",7,"propylbenzene","0.03 (0.02)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Morris & Point Breeze","stationary",7,"mesitylene","0.07 (0.04)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Morris & Point Breeze","stationary",7,"benzene_1_2_3_trimethyl","0.03 (0.01)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"Morris & Point Breeze","stationary",7,"benzene_1_4_diethyl","0.02 (0.01)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"Morris & Point Breeze","stationary",7,"heptane3methyl","0.10 (0.08)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"Morris & Point Breeze","stationary",7,"hexane2methyl","0.12 (0.11)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"Morris & Point Breeze","stationary",7,"butane_2_methyl","0.14 (0.10)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"Morris & Point Breeze","stationary",7,"pentane_2_methyl","1.12 (1.10)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"Morris & Point Breeze","stationary",7,"pentane_3_methyl","0.40 (0.40)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"Morris & Point Breeze","stationary",7,"pentane_2_4_dimethyl","0.06 (0.03)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"Morris & Point Breeze","stationary",7,"pentane_2_3_4_trimethyl","0.07 (0.05)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"Morris & Point Breeze","stationary",7,"hexane_3_methyl","0.27 (0.24)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"Morris & Point Breeze","stationary",7,"heptane","0.15 (0.11)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"Morris & Point Breeze","stationary",7,"hexane","0.21 (0.23)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"Morris & Point Breeze","stationary",7,"nonane","0.08 (0.09)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"Morris & Point Breeze","stationary",7,"octane","0.07 (0.04)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"Morris & Point Breeze","stationary",7,"decane","0.08 (0.04)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"Morris & Point Breeze","stationary",7,"dodecane","0.06 (0.06)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"Morris & Point Breeze","stationary",7,"undecane","0.11 (0.07)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"Morris & Point Breeze","stationary",7,"cyclohexane_methyl","0.25 (0.20)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"Morris & Point Breeze","stationary",7,"x2_pentene_z_cis","0.01 (0.01)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"Morris & Point Breeze","stationary",7,"x1_3_butadiene_2_methyl","0.02 (0.03)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"Morris & Point Breeze","stationary",7,"x1_hexene","0.04 (0.04)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"Morris & Point Breeze","stationary",7,"methyl_isobutyl_ketone","0.00 (0.01)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"Morris & Point Breeze","stationary",7,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"Morris & Point Breeze","stationary",7,"benz12chloro","0.04 (0.02)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"Morris & Point Breeze","stationary",7,"tce","0.02 (0.01)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Morris & Point Breeze","stationary",7,"trichlorofluoromethane","0.11 (0.10)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Morris & Point Breeze","stationary",7,"trichloromethane","0.03 (0.01)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Morris & Point Breeze","stationary",7,"carbon_tetrachloride","0.27 (0.12)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"24th & Ritner","stationary",8,"benzene","0.39 (0.27)","Benzene",78.11,"BTEX","BTEX",1,1
"24th & Ritner","stationary",8,"toluene","0.50 (0.27)","Toluene",92.14,"BTEX","BTEX",1,1
"24th & Ritner","stationary",8,"etbenz","0.11 (0.06)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"24th & Ritner","stationary",8,"xylenes","0.94 (0.64)","Xylenes",106.16,"BTEX","BTEX",1,1
"24th & Ritner","stationary",8,"mpxylene","0.78 (0.51)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"24th & Ritner","stationary",8,"oxylene","0.16 (0.09)","o-Xylene",106.16,"BTEX","BTEX",1,1
"24th & Ritner","stationary",8,"benz1ethyl2methyl","0.03 (0.02)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"24th & Ritner","stationary",8,"benz1ethyl3methyl","0.07 (0.04)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"24th & Ritner","stationary",8,"benz1ethyl4methyl","0.03 (0.02)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"24th & Ritner","stationary",8,"propylbenzene","0.04 (0.02)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"24th & Ritner","stationary",8,"mesitylene","0.08 (0.05)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"24th & Ritner","stationary",8,"benzene_1_2_3_trimethyl","0.04 (0.02)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"24th & Ritner","stationary",8,"benzene_1_4_diethyl","0.02 (0.01)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"24th & Ritner","stationary",8,"heptane3methyl","0.15 (0.10)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"24th & Ritner","stationary",8,"hexane2methyl","0.16 (0.14)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"24th & Ritner","stationary",8,"butane_2_methyl","0.14 (0.12)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"24th & Ritner","stationary",8,"pentane_2_methyl","1.51 (1.60)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"24th & Ritner","stationary",8,"pentane_3_methyl","0.52 (0.55)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"24th & Ritner","stationary",8,"pentane_2_4_dimethyl","0.08 (0.07)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"24th & Ritner","stationary",8,"pentane_2_3_4_trimethyl","0.10 (0.08)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"24th & Ritner","stationary",8,"hexane_3_methyl","0.38 (0.31)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"24th & Ritner","stationary",8,"heptane","0.19 (0.14)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"24th & Ritner","stationary",8,"hexane","0.26 (0.29)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"24th & Ritner","stationary",8,"nonane","0.12 (0.10)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"24th & Ritner","stationary",8,"octane","0.08 (0.06)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"24th & Ritner","stationary",8,"decane","0.08 (0.07)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"24th & Ritner","stationary",8,"dodecane","0.03 (0.04)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"24th & Ritner","stationary",8,"undecane","0.09 (0.08)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"24th & Ritner","stationary",8,"cyclohexane_methyl","0.43 (0.35)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"24th & Ritner","stationary",8,"x2_pentene_z_cis","0.01 (0.02)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"24th & Ritner","stationary",8,"x1_3_butadiene_2_methyl","0.01 (0.04)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"24th & Ritner","stationary",8,"x1_hexene","0.05 (0.04)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"24th & Ritner","stationary",8,"methyl_isobutyl_ketone","0.01 (0.01)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"24th & Ritner","stationary",8,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"24th & Ritner","stationary",8,"benz12chloro","0.02 (0.01)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"24th & Ritner","stationary",8,"tce","0.01 (0.01)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"24th & Ritner","stationary",8,"trichlorofluoromethane","0.10 (0.10)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"24th & Ritner","stationary",8,"trichloromethane","0.04 (0.02)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"24th & Ritner","stationary",8,"carbon_tetrachloride","0.27 (0.13)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"26th & Hartranft","stationary",9,"benzene","0.38 (0.17)","Benzene",78.11,"BTEX","BTEX",1,1
"26th & Hartranft","stationary",9,"toluene","0.45 (0.24)","Toluene",92.14,"BTEX","BTEX",1,1
"26th & Hartranft","stationary",9,"etbenz","0.13 (0.05)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"26th & Hartranft","stationary",9,"xylenes","0.96 (0.45)","Xylenes",106.16,"BTEX","BTEX",1,1
"26th & Hartranft","stationary",9,"mpxylene","0.81 (0.39)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"26th & Hartranft","stationary",9,"oxylene","0.18 (0.08)","o-Xylene",106.16,"BTEX","BTEX",1,1
"26th & Hartranft","stationary",9,"benz1ethyl2methyl","0.04 (0.03)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"26th & Hartranft","stationary",9,"benz1ethyl3methyl","0.10 (0.07)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"26th & Hartranft","stationary",9,"benz1ethyl4methyl","0.04 (0.03)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"26th & Hartranft","stationary",9,"propylbenzene","0.06 (0.05)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"26th & Hartranft","stationary",9,"mesitylene","0.13 (0.09)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"26th & Hartranft","stationary",9,"benzene_1_2_3_trimethyl","0.05 (0.04)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"26th & Hartranft","stationary",9,"benzene_1_4_diethyl","0.05 (0.05)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"26th & Hartranft","stationary",9,"heptane3methyl","0.27 (0.26)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"26th & Hartranft","stationary",9,"hexane2methyl","0.27 (0.21)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"26th & Hartranft","stationary",9,"butane_2_methyl","0.14 (0.08)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"26th & Hartranft","stationary",9,"pentane_2_methyl","2.98 (2.07)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"26th & Hartranft","stationary",9,"pentane_3_methyl","1.29 (1.23)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"26th & Hartranft","stationary",9,"pentane_2_4_dimethyl","0.19 (0.18)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"26th & Hartranft","stationary",9,"pentane_2_3_4_trimethyl","0.25 (0.22)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"26th & Hartranft","stationary",9,"hexane_3_methyl","0.67 (0.50)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"26th & Hartranft","stationary",9,"heptane","0.26 (0.25)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"26th & Hartranft","stationary",9,"hexane","0.34 (0.29)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"26th & Hartranft","stationary",9,"nonane","0.13 (0.17)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"26th & Hartranft","stationary",9,"octane","0.11 (0.09)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"26th & Hartranft","stationary",9,"decane","0.20 (0.19)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"26th & Hartranft","stationary",9,"dodecane","0.20 (0.20)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"26th & Hartranft","stationary",9,"undecane","0.27 (0.25)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"26th & Hartranft","stationary",9,"cyclohexane_methyl","0.91 (1.00)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"26th & Hartranft","stationary",9,"x2_pentene_z_cis","0.01 (0.02)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"26th & Hartranft","stationary",9,"x1_3_butadiene_2_methyl","0.01 (0.03)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"26th & Hartranft","stationary",9,"x1_hexene","0.07 (0.05)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"26th & Hartranft","stationary",9,"methyl_isobutyl_ketone","0.00 (0.01)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"26th & Hartranft","stationary",9,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"26th & Hartranft","stationary",9,"benz12chloro","0.01 (0.01)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"26th & Hartranft","stationary",9,"tce","0.01 (0.01)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"26th & Hartranft","stationary",9,"trichlorofluoromethane","0.11 (0.10)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"26th & Hartranft","stationary",9,"trichloromethane","0.04 (0.02)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"26th & Hartranft","stationary",9,"carbon_tetrachloride","0.27 (0.12)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Hartranft & Pietro Wy","rotating",10,"benzene","0.35 (0.41)","Benzene",78.11,"BTEX","BTEX",1,1
"Hartranft & Pietro Wy","rotating",10,"toluene","0.34 (0.26)","Toluene",92.14,"BTEX","BTEX",1,1
"Hartranft & Pietro Wy","rotating",10,"etbenz","0.08 (0.04)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"Hartranft & Pietro Wy","rotating",10,"xylenes","0.52 (0.30)","Xylenes",106.16,"BTEX","BTEX",1,1
"Hartranft & Pietro Wy","rotating",10,"mpxylene","0.42 (0.26)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"Hartranft & Pietro Wy","rotating",10,"oxylene","0.10 (0.04)","o-Xylene",106.16,"BTEX","BTEX",1,1
"Hartranft & Pietro Wy","rotating",10,"benz1ethyl2methyl","0.02 (0.00)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Hartranft & Pietro Wy","rotating",10,"benz1ethyl3methyl","0.05 (0.01)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Hartranft & Pietro Wy","rotating",10,"benz1ethyl4methyl","0.02 (0.01)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Hartranft & Pietro Wy","rotating",10,"propylbenzene","0.04 (0.01)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Hartranft & Pietro Wy","rotating",10,"mesitylene","0.06 (0.03)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Hartranft & Pietro Wy","rotating",10,"benzene_1_2_3_trimethyl","0.03 (0.01)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"Hartranft & Pietro Wy","rotating",10,"benzene_1_4_diethyl","0.02 (0.01)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"Hartranft & Pietro Wy","rotating",10,"heptane3methyl","0.12 (0.04)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"Hartranft & Pietro Wy","rotating",10,"hexane2methyl","0.09 (0.08)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"Hartranft & Pietro Wy","rotating",10,"butane_2_methyl","0.05 (0.05)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"Hartranft & Pietro Wy","rotating",10,"pentane_2_methyl","0.80 (0.97)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"Hartranft & Pietro Wy","rotating",10,"pentane_3_methyl","0.33 (0.42)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"Hartranft & Pietro Wy","rotating",10,"pentane_2_4_dimethyl","0.05 (0.04)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"Hartranft & Pietro Wy","rotating",10,"pentane_2_3_4_trimethyl","0.07 (0.04)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"Hartranft & Pietro Wy","rotating",10,"hexane_3_methyl","0.22 (0.19)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"Hartranft & Pietro Wy","rotating",10,"heptane","0.13 (0.11)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"Hartranft & Pietro Wy","rotating",10,"hexane","0.17 (0.23)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"Hartranft & Pietro Wy","rotating",10,"nonane","0.08 (0.03)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"Hartranft & Pietro Wy","rotating",10,"octane","0.07 (0.02)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"Hartranft & Pietro Wy","rotating",10,"decane","0.07 (0.03)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"Hartranft & Pietro Wy","rotating",10,"dodecane","0.07 (0.01)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"Hartranft & Pietro Wy","rotating",10,"undecane","0.12 (0.04)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"Hartranft & Pietro Wy","rotating",10,"cyclohexane_methyl","0.36 (0.33)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"Hartranft & Pietro Wy","rotating",10,"x2_pentene_z_cis","0.01 (0.01)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"Hartranft & Pietro Wy","rotating",10,"x1_3_butadiene_2_methyl","0.02 (0.03)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"Hartranft & Pietro Wy","rotating",10,"x1_hexene","0.03 (0.01)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"Hartranft & Pietro Wy","rotating",10,"methyl_isobutyl_ketone","0.00 (0.00)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"Hartranft & Pietro Wy","rotating",10,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"Hartranft & Pietro Wy","rotating",10,"benz12chloro","0.01 (0.01)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"Hartranft & Pietro Wy","rotating",10,"tce","0.01 (0.01)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Hartranft & Pietro Wy","rotating",10,"trichlorofluoromethane","0.06 (0.09)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Hartranft & Pietro Wy","rotating",10,"trichloromethane","0.03 (0.02)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Hartranft & Pietro Wy","rotating",10,"carbon_tetrachloride","0.22 (0.13)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Snyder & Vare","rotating",11,"benzene","0.35 (0.33)","Benzene",78.11,"BTEX","BTEX",1,1
"Snyder & Vare","rotating",11,"toluene","0.43 (0.23)","Toluene",92.14,"BTEX","BTEX",1,1
