"site","site_type","site_id","variable_name","summary","voc_name","mw","category_1","category_2","category_1no","category_2no"
"Essington & Mingo","stationary",2,"benz1ethyl2methyl","0.02 (0.01)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benz1ethyl3methyl","0.05 (0.03)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benz1ethyl4methyl","0.02 (0.01)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"propylbenzene","0.02 (0.01)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"mesitylene","0.05 (0.02)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benzene_1_2_3_trimethyl","0.02 (0.01)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benzene_1_4_diethyl","0.01 (0.01)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"heptane3methyl","0.08 (0.05)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"hexane2methyl","0.14 (0.10)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"butane_2_methyl","0.14 (0.11)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"pentane_2_methyl","1.43 (1.17)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"pentane_3_methyl","0.48 (0.47)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"pentane_2_4_dimethyl","0.07 (0.03)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"pentane_2_3_4_trimethyl","0.06 (0.04)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"hexane_3_methyl","0.31 (0.20)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"Essington & Mingo","stationary",2,"heptane","0.15 (0.09)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"Essington & Mingo","stationary",2,"hexane","0.23 (0.20)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"Essington & Mingo","stationary",2,"nonane","0.06 (0.07)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"Essington & Mingo","stationary",2,"octane","0.05 (0.04)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"Essington & Mingo","stationary",2,"decane","0.04 (0.03)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"Essington & Mingo","stationary",2,"dodecane","0.03 (0.02)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"Essington & Mingo","stationary",2,"undecane","0.06 (0.03)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"Essington & Mingo","stationary",2,"cyclohexane_methyl","0.22 (0.14)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"Essington & Mingo","stationary",2,"x2_pentene_z_cis","0.01 (0.02)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"Essington & Mingo","stationary",2,"x1_3_butadiene_2_methyl","0.00 (0.03)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"Essington & Mingo","stationary",2,"x1_hexene","0.05 (0.04)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"Essington & Mingo","stationary",2,"methyl_isobutyl_ketone","0.01 (0.01)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"Essington & Mingo","stationary",2,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"Essington & Mingo","stationary",2,"benz12chloro","0.01 (0.01)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"Essington & Mingo","stationary",2,"tce","0.02 (0.02)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Essington & Mingo","stationary",2,"trichlorofluoromethane","0.11 (0.11)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Essington & Mingo","stationary",2,"trichloromethane","0.03 (0.01)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Essington & Mingo","stationary",2,"carbon_tetrachloride","0.27 (0.14)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"61st & Passyunk","stationary",3,"benzene","0.42 (0.28)","Benzene",78.11,"BTEX","BTEX",1,1
"61st & Passyunk","stationary",3,"toluene","0.78 (0.67)","Toluene",92.14,"BTEX","BTEX",1,1
"61st & Passyunk","stationary",3,"etbenz","0.18 (0.14)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"61st & Passyunk","stationary",3,"xylenes","1.49 (1.27)","Xylenes",106.16,"BTEX","BTEX",1,1
"61st & Passyunk","stationary",3,"mpxylene","1.21 (1.08)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"61st & Passyunk","stationary",3,"oxylene","0.27 (0.19)","o-Xylene",106.16,"BTEX","BTEX",1,1
"61st & Passyunk","stationary",3,"benz1ethyl2methyl","0.04 (0.02)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"61st & Passyunk","stationary",3,"benz1ethyl3methyl","0.11 (0.08)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"61st & Passyunk","stationary",3,"benz1ethyl4methyl","0.05 (0.04)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"61st & Passyunk","stationary",3,"propylbenzene","0.05 (0.03)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"61st & Passyunk","stationary",3,"mesitylene","0.12 (0.07)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"61st & Passyunk","stationary",3,"benzene_1_2_3_trimethyl","0.05 (0.03)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"61st & Passyunk","stationary",3,"benzene_1_4_diethyl","0.03 (0.02)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"61st & Passyunk","stationary",3,"heptane3methyl","0.21 (0.15)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"61st & Passyunk","stationary",3,"hexane2methyl","0.25 (0.24)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"61st & Passyunk","stationary",3,"butane_2_methyl","0.14 (0.09)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"61st & Passyunk","stationary",3,"pentane_2_methyl","2.28 (2.26)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"61st & Passyunk","stationary",3,"pentane_3_methyl","0.79 (0.86)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"61st & Passyunk","stationary",3,"pentane_2_4_dimethyl","0.11 (0.08)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"61st & Passyunk","stationary",3,"pentane_2_3_4_trimethyl","0.14 (0.10)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"61st & Passyunk","stationary",3,"hexane_3_methyl","0.55 (0.51)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"61st & Passyunk","stationary",3,"heptane","0.28 (0.26)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"61st & Passyunk","stationary",3,"hexane","0.42 (0.56)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"61st & Passyunk","stationary",3,"nonane","0.10 (0.10)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"61st & Passyunk","stationary",3,"octane","0.10 (0.07)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"61st & Passyunk","stationary",3,"decane","0.07 (0.04)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
