"site","total","sum","Alkenes","Alkylbenzenes","BTEX","Branched Alkanes","C10-C12 Alkanes","C6-C9 Alkanes","Chlorinated Compounds","Cyclohexanes","Ketones"
"31st & Grays Ferry",29.602000000000004,0.35000000000000003,1.182352543747044,NA,NA,NA,NA,NA,NA,NA,NA
"31st & Grays Ferry",29.602000000000004,1.2810000000000001,NA,4.327410310114182,NA,NA,NA,NA,NA,NA,NA
"31st & Grays Ferry",29.602000000000004,13.255000000000003,NA,NA,44.77737990676306,NA,NA,NA,NA,NA,NA
"31st & Grays Ferry",29.602000000000004,8.622,NA,NA,NA,29.126410377677182,NA,NA,NA,NA,NA
"31st & Grays Ferry",29.602000000000004,0.8420000000000001,NA,NA,NA,NA,2.8444024052428887,NA,NA,NA,NA
"31st & Grays Ferry",29.602000000000004,2.5260000000000002,NA,NA,NA,NA,NA,8.533207215728666,NA,NA,NA
"31st & Grays Ferry",29.602000000000004,1.7830000000000001,NA,NA,NA,NA,NA,NA,6.023241672859942,NA,NA
"31st & Grays Ferry",29.602000000000004,0.919,NA,NA,NA,NA,NA,NA,NA,3.1045199648672384,NA
"31st & Grays Ferry",29.602000000000004,0.024,NA,NA,NA,NA,NA,NA,NA,NA,0.0810756029997973
"61st & Passyunk",608.1720000000001,6.614999999999999,1.087685720486967,NA,NA,NA,NA,NA,NA,NA,NA
"61st & Passyunk",608.1720000000001,23.132,NA,3.8035292647474725,NA,NA,NA,NA,NA,NA,NA
"61st & Passyunk",608.1720000000001,233.347,NA,NA,38.36858651828758,NA,NA,NA,NA,NA,NA
"61st & Passyunk",608.1720000000001,235.57100000000003,NA,NA,NA,38.73427254132054,NA,NA,NA,NA,NA
"61st & Passyunk",608.1720000000001,9.717000000000004,NA,NA,NA,NA,1.5977387975770014,NA,NA,NA,NA
"61st & Passyunk",608.1720000000001,49.936000000000014,NA,NA,NA,NA,NA,8.210835092704038,NA,NA,NA
"61st & Passyunk",608.1720000000001,22.137000000000004,NA,NA,NA,NA,NA,NA,3.639924231960695,NA,NA
"61st & Passyunk",608.1720000000001,27.194999999999997,NA,NA,NA,NA,NA,NA,NA,4.471596850890864,NA
"61st & Passyunk",608.1720000000001,0.5220000000000002,NA,NA,NA,NA,NA,NA,NA,NA,0.08583098202482195
"Audenreid School",58.68,0.538,0.9168370824812543,NA,NA,NA,NA,NA,NA,NA,NA
"Audenreid School",58.68,1.902,NA,3.2413087934560325,NA,NA,NA,NA,NA,NA,NA
"Audenreid School",58.68,21.705999999999996,NA,NA,36.990456714383086,NA,NA,NA,NA,NA,NA
"Audenreid School",58.68,24.265999999999995,NA,NA,NA,41.35310156782548,NA,NA,NA,NA,NA
"Audenreid School",58.68,0.7369999999999999,NA,NA,NA,NA,1.2559645535105657,NA,NA,NA,NA
"Audenreid School",58.68,4.764999999999999,NA,NA,NA,NA,NA,8.12031356509884,NA,NA,NA
"Audenreid School",58.68,2.38,NA,NA,NA,NA,NA,NA,4.055896387184731,NA,NA
"Audenreid School",58.68,2.344,NA,NA,NA,NA,NA,NA,NA,3.994546693933197,NA
"Audenreid School",58.68,0.042,NA,NA,NA,NA,NA,NA,NA,NA,0.07157464212678936
"Bartram’s Garden",267.945,4.704,1.755584168392767,NA,NA,NA,NA,NA,NA,NA,NA
"Bartram’s Garden",267.945,9.162999999999995,NA,3.4197316613484094,NA,NA,NA,NA,NA,NA,NA
"Bartram’s Garden",267.945,97.27999999999999,NA,NA,36.305958312340216,NA,NA,NA,NA,NA,NA
"Bartram’s Garden",267.945,96.224,NA,NA,NA,35.91184758066021,NA,NA,NA,NA,NA
"Bartram’s Garden",267.945,6.094999999999997,NA,NA,NA,NA,2.2747205583235353,NA,NA,NA,NA
"Bartram’s Garden",267.945,21.31700000000002,NA,NA,NA,NA,NA,7.955737184870038,NA,NA,NA
"Bartram’s Garden",267.945,22.865000000000006,NA,NA,NA,NA,NA,NA,8.53346768926459,NA,NA
"Bartram’s Garden",267.945,9.981000000000002,NA,NA,NA,NA,NA,NA,NA,3.725018194032358,NA
"Bartram’s Garden",267.945,0.31600000000000017,NA,NA,NA,NA,NA,NA,NA,NA,0.11793465076788152
"Carl Moore Health Center",43.127,0.46,1.0666172003617223,NA,NA,NA,NA,NA,NA,NA,NA
"Carl Moore Health Center",43.127,1.4780000000000002,NA,3.4270874394230995,NA,NA,NA,NA,NA,NA,NA
"Carl Moore Health Center",43.127,16.088,NA,NA,37.303777216129106,NA,NA,NA,NA,NA,NA
