"site","category_2","prop","total","sum"
"24th & Ritner","Alkenes",1.0397125066961037,461.08900000000006,4.793999999999999
"24th & Ritner","Alkylbenzenes",3.723793020436404,461.08900000000006,17.170000000000012
"24th & Ritner","BTEX",34.16889147214528,461.08900000000006,157.54899999999998
"24th & Ritner","Branched Alkanes",39.376779754017136,461.08900000000006,181.56200000000007
"24th & Ritner","C10-C12 Alkanes",2.4919267213054304,461.08900000000006,11.489999999999997
"24th & Ritner","C6-C9 Alkanes",8.417246995699307,461.08900000000006,38.81099999999998
"24th & Ritner","Chlorinated Compounds",4.602799025784611,461.08900000000006,21.223000000000006
"24th & Ritner","Cyclohexanes",6.104895150393958,461.08900000000006,28.149
"24th & Ritner","Ketones",0.07395535352177132,461.08900000000006,0.3410000000000002
"25th & Point Breeze","Alkenes",1.1267373762562012,413.05099999999993,4.654000000000001
"25th & Point Breeze","Alkylbenzenes",3.5320093644610457,413.05099999999993,14.588999999999992
"25th & Point Breeze","BTEX",37.51667469634501,413.05099999999993,154.963
"25th & Point Breeze","Branched Alkanes",37.6057678107546,413.05099999999993,155.33099999999996
"25th & Point Breeze","C10-C12 Alkanes",2.130729619344829,413.05099999999993,8.801000000000007
"25th & Point Breeze","C6-C9 Alkanes",7.63077682901143,413.05099999999993,31.519
"25th & Point Breeze","Chlorinated Compounds",5.38093358931464,413.05099999999993,22.226000000000013
"25th & Point Breeze","Cyclohexanes",4.9838881881414165,413.05099999999993,20.586
"25th & Point Breeze","Ketones",0.09248252637083564,413.05099999999993,0.38200000000000023
"26th & Hartranft","Alkenes",0.9253753881291459,635.7420000000002,5.8829999999999965
"26th & Hartranft","Alkylbenzenes",4.061395975096817,635.7420000000002,25.820000000000014
"26th & Hartranft","BTEX",24.583714777378226,635.7420000000002,156.28899999999993
"26th & Hartranft","Branched Alkanes",43.79732658845887,635.7420000000002,278.4380000000003
"26th & Hartranft","C10-C12 Alkanes",6.757772807207959,635.7420000000002,42.96200000000003
"26th & Hartranft","C6-C9 Alkanes",8.199395352202618,635.7420000000002,52.12699999999998
"26th & Hartranft","Chlorinated Compounds",3.14152596493546,635.7420000000002,19.971999999999998
"26th & Hartranft","Cyclohexanes",8.490393901928769,635.7420000000002,53.97700000000002
"26th & Hartranft","Ketones",0.04309924466214283,635.7420000000002,0.27400000000000013
"28th & Passyunk","Alkenes",1.123841071585385,1182.818490629443,13.293000000000008
"28th & Passyunk","Alkylbenzenes",5.13967278002635,1182.818490629443,60.793000000000006
"28th & Passyunk","BTEX",30.742502157409927,1182.818490629443,363.62800000000004
"28th & Passyunk","Branched Alkanes",40.3747062134028,1182.818490629443,477.55949062944296
"28th & Passyunk","C10-C12 Alkanes",2.8616394035223114,1182.818490629443,33.848
"28th & Passyunk","C6-C9 Alkanes",9.441769881410075,1182.818490629443,111.67899999999999
"28th & Passyunk","Chlorinated Compounds",1.7584270253444978,1182.818490629443,20.799
"28th & Passyunk","Cyclohexanes",8.536051879462116,1182.818490629443,100.96600000000001
"28th & Passyunk","Ketones",0.021389587836538205,1182.818490629443,0.2530000000000001
"28th & Point Breeze","Alkenes",1.0299718059776595,455.06100000000015,4.6869999999999985
"28th & Point Breeze","Alkylbenzenes",3.761034234970693,455.06100000000015,17.11499999999999
"28th & Point Breeze","BTEX",34.847196309945275,455.06100000000015,158.5760000000001
"28th & Point Breeze","Branched Alkanes",38.79699644663022,455.06100000000015,176.54999999999998
"28th & Point Breeze","C10-C12 Alkanes",2.4478037010422753,455.06100000000015,11.138999999999992
"28th & Point Breeze","C6-C9 Alkanes",8.121109038128955,455.06100000000015,36.95600000000002
"28th & Point Breeze","Chlorinated Compounds",4.94527107354838,455.06100000000015,22.504
"28th & Point Breeze","Cyclohexanes",5.97502312876735,455.06100000000015,27.19
"28th & Point Breeze","Ketones",0.07559426098918609,455.06100000000015,0.3440000000000002
"29th & Moore","Alkenes",1.1672252398012248,25.959000000000003,0.303
"29th & Moore","Alkylbenzenes",3.8907507993374164,25.959000000000003,1.01
"29th & Moore","BTEX",39.62402249701452,25.959000000000003,10.286000000000001
"29th & Moore","Branched Alkanes",30.23614160792018,25.959000000000003,7.849000000000001
"29th & Moore","C10-C12 Alkanes",4.245155822643398,25.959000000000003,1.1019999999999999
"29th & Moore","C6-C9 Alkanes",9.969567394737854,25.959000000000003,2.588
"29th & Moore","Chlorinated Compounds",7.319234176971377,25.959000000000003,1.9
"29th & Moore","Cyclohexanes",3.4207789206055694,25.959000000000003,0.8879999999999999
"29th & Moore","Ketones",0.12712354096845024,25.959000000000003,0.033
"31st & Grays Ferry","Alkenes",1.182352543747044,29.602000000000004,0.35000000000000003
"31st & Grays Ferry","Alkylbenzenes",4.327410310114182,29.602000000000004,1.2810000000000001
"31st & Grays Ferry","BTEX",44.77737990676306,29.602000000000004,13.255000000000003
"31st & Grays Ferry","Branched Alkanes",29.126410377677182,29.602000000000004,8.622
"31st & Grays Ferry","C10-C12 Alkanes",2.8444024052428887,29.602000000000004,0.8420000000000001
"31st & Grays Ferry","C6-C9 Alkanes",8.533207215728666,29.602000000000004,2.5260000000000002
"31st & Grays Ferry","Chlorinated Compounds",6.023241672859942,29.602000000000004,1.7830000000000001
"31st & Grays Ferry","Cyclohexanes",3.1045199648672384,29.602000000000004,0.919
"31st & Grays Ferry","Ketones",0.0810756029997973,29.602000000000004,0.024
"61st & Passyunk","Alkenes",1.087685720486967,608.1720000000001,6.614999999999999
"61st & Passyunk","Alkylbenzenes",3.8035292647474725,608.1720000000001,23.132
