"","site","file_id","site_id","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","trichlorofluoromethane_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","butane_2_methyl","butane_2_methyl_flag","x2_pentene_z_cis","x2_pentene_z_cis_flag","x1_3_butadiene_2_methyl","x1_3_butadiene_2_methyl_flag","pentane_2_methyl","pentane_2_methyl_flag","pentane_3_methyl","pentane_3_methyl_flag","x1_hexene","x1_hexene_flag","pentane_2_4_dimethyl","pentane_2_4_dimethyl_flag","trichloromethane","trichloromethane_flag","hexane_3_methyl","hexane_3_methyl_flag","carbon_tetrachloride","carbon_tetrachloride_flag","cyclohexane_methyl","cyclohexane_methyl_flag","pentane_2_3_4_trimethyl","pentane_2_3_4_trimethyl_flag","methyl_isobutyl_ketone","methyl_isobutyl_ketone_flag","x2_hexanone","x2_hexanone_flag","benzene_1_2_3_trimethyl","benzene_1_2_3_trimethyl_flag","benzene_1_4_diethyl","benzene_1_4_diethyl_flag","site_type","lat","long","site_color","season","week","sample_length","tot_weeks"
"11","61st & Passyunk","P733880 071323",3,2023-06-28 14:00:00,2023-07-05 12:50:00,0.347,"REG",0.462,"REG",0.11,"REG",0.746,"REG",1.665,"REG",0.578,"REG",0.168,"REG",0.043,"REG",0.223,"REG",0.133,"REG",0.154,"REG",0.116,"REG",0.046,"REG",0.013,"REG",0.003,"REG",0.036,"LOD",0.074,"REG",0.026,"LOD",0.05,"REG",0.075,"REG",0.028,"LOD",0.011,"LOD",0.072,"LOD",0.024,"LOD","7.8E-2","REG","1.0999999999999999E-2","LOD","5.5E-2","REG","1.0660000000000001","REG","0.35699999999999998","REG","6.2E-2","REG","7.1999999999999995E-2","REG","1.9E-2","REG","0.29199999999999998","REG","0.187","REG","0.27300000000000002","REG","9.0999999999999998E-2","REG","0","ND","1.7000000000000001E-2","REG","3.4000000000000002E-2","LOD","2.4E-2","LOD","stationary","39.91820446"," -75.2085474","#8c564c",NA,"272023",1,46
"12","28th & Passyunk","P733881 071323",4,2023-06-28 14:15:00,2023-07-05 13:02:00,0.372,"REG",0.385,"REG",0.15,"REG",1.118,"REG",2.025,"REG",0.892,"REG",0.226,"REG",0.033,"REG",0.47,"REG",0.333,"REG",0.463,"REG",0.481,"REG",0.146,"REG",0.009,"REG",0.032,"REG",0.067,"REG",0.102,"REG",0.041,"REG",0.084,"REG",0.158,"REG",0.045,"REG",0.006,"LOD",0.106,"REG",0.045,"LOD","9.5000000000000001E-2","REG","5.0000000000000001E-3","ND","3.5000000000000003E-2","REG","2.1320000000000001","REG","0.96199999999999997","REG","6.2E-2","REG","0.188","REG","1.9E-2","REG","0.85299999999999998","REG","0.17299999999999999","REG","2.1139999999999999","REG","0.375","REG","0","ND","2E-3","ND","6.0999999999999999E-2","REG","2.1000000000000001E-2","LOD","stationary","39.92061091"," -75.1955879","#d62727",NA,"272023",1,47
"13","26th & Hartranft","P726642 071323",9,2023-06-28 14:58:00,2023-07-05 14:21:00,0.352,"REG",0.325,"REG",0.095,"REG",0.631,"REG",1.403,"REG",0.484,"REG",0.147,"REG",0.043,"REG",0.149,"REG",0.1,"REG",0.115,"REG",0.139,"REG",0.05,"REG",0.009,"REG",0.079,"REG",0.066,"REG",0.112,"REG",0.038,"REG",0.346,"REG",0.108,"REG",0.052,"REG",0.006,"ND",0.59,"REG",0.46,"REG","5.6000000000000001E-2","REG","2.4E-2","REG","5.1999999999999998E-2","REG","0.77800000000000002","REG","0.30499999999999999","REG","5.0999999999999997E-2","REG","8.5000000000000006E-2","REG","1.9E-2","REG","0.219","REG","0.186","REG","0.44","REG","0.28399999999999997","REG","0","ND","2E-3","ND","0.06","REG","6.7000000000000004E-2","REG","stationary","39.91327125"," -75.1922011","#2ba02b",NA,"272023",1,44
"14","24th & Ritner","P726641 071323",8,2023-06-28 14:45:00,2023-07-05 19:42:00,0.346,"REG",0.388,"REG",0.096,"REG",0.67,"REG",1.5,"REG",0.523,"REG",0.147,"REG",0.041,"REG",0.164,"REG",0.109,"REG",0.13,"REG",0.112,"REG",0.033,"REG",0.009,"REG",0.009,"ND",0.029,"LOD",0.064,"REG",0.022,"LOD",0.039,"REG",0.072,"REG",0.027,"LOD",0.016,"LOD",0.07,"LOD",0.033,"LOD","6.0999999999999999E-2","REG","4.0000000000000001E-3","LOD","5.2999999999999999E-2","REG","0.84399999999999997","REG","0.30499999999999999","REG","2.7E-2","REG","6.6000000000000003E-2","REG","6.3E-2","REG","0.25900000000000001","REG","0.18","REG","0.33500000000000002","REG","0.111","REG","0","ND","2E-3","ND","3.3000000000000002E-2","LOD","2.1000000000000001E-2","LOD","stationary","39.92296389"," -75.186874","#1f77b4",NA,"272023",1,46
"15","28th & Point Breeze","P733882 071323",5,2023-06-28 14:26:00,2023-07-05 19:51:00,0.321,"REG",0.322,"REG",0.082,"REG",0.535,"REG",1.26,"REG",0.419,"REG",0.116,"REG",0.037,"REG",0.144,"REG",0.103,"REG",0.123,"REG",0.112,"REG",0.025,"REG",0.009,"REG",0.009,"ND",0.029,"LOD",0.051,"REG",0.022,"LOD",0.048,"REG",0.064,"REG",0.023,"LOD",0.011,"LOD",0.07,"LOD",0.033,"LOD","5.3999999999999999E-2","REG","2.3E-2","REG","4.7E-2","REG","0.751","REG","0.28399999999999997","REG","3.7999999999999999E-2","REG","5.7000000000000002E-2","REG","1.7999999999999999E-2","REG","0.23400000000000001","REG","0.18","REG","0.38400000000000001","REG","0.11600000000000001","REG","0","ND","2E-3","ND","2.9000000000000001E-2","LOD","6.0000000000000001E-3","LOD","stationary","39.92624784"," -75.1923165","#9467bd",NA,"272023",1,47
"16","25th & Point Breeze","P733883 071323",6,2023-06-28 14:32:00,2023-07-05 20:03:00,0.297,"REG",0.338,"REG",0.077,"REG",0.49,"REG",1.202,"REG",0.384,"REG",0.106,"REG",0.032,"REG",0.144,"REG",0.109,"REG",0.117,"REG",0.078,"REG",0.045,"REG",0.009,"REG",0.03,"REG",0.023,"LOD",0.047,"REG",0.018,"LOD",0.048,"REG",0.056,"REG",0.02,"LOD",0.016,"LOD",0.076,"LOD",0.043,"LOD","5.3999999999999999E-2","REG","4.0000000000000001E-3","LOD","0.1","REG","0.65900000000000003","REG","0.23499999999999999","REG","3.7999999999999999E-2","REG","5.6000000000000001E-2","REG","1.7999999999999999E-2","REG","0.246","REG","0.16600000000000001","REG","0.26300000000000001","REG","8.6999999999999994E-2","REG","0","ND","2E-3","ND","2.5999999999999999E-2","LOD","1.4999999999999999E-2","LOD","stationary","39.92771763"," -75.1873965","#ff7f0f",NA,"272023",1,47
"17","Morris & Point Breeze","P733885 071323",7,2023-06-28 14:38:00,2023-07-05 20:24:00,0.327,"REG",0.341,"REG",0.106,"REG",0.718,"REG",1.492,"REG",0.562,"REG",0.156,"REG",0.032,"REG",0.182,"REG",0.09,"REG",0.111,"REG",0.078,"REG",0.044,"REG",0.009,"REG",0.021,"REG",0.023,"LOD",0.054,"REG",0.022,"LOD",0.076,"REG",0.056,"REG",0.023,"LOD",0.032,"REG",0.108,"REG",0.069,"REG","0.105","REG","6.0000000000000001E-3","LOD","4.2000000000000003E-2","REG","0.91800000000000004","REG","0.315","REG","3.3000000000000002E-2","REG","5.0999999999999997E-2","REG","1.7999999999999999E-2","REG","0.19900000000000001","REG","0.17899999999999999","REG","0.222","REG","7.5999999999999998E-2","REG","0","ND","2E-3","ND","2.9000000000000001E-2","LOD","1.7999999999999999E-2","LOD","stationary","39.93094655"," -75.1829941","#bcbd21",NA,"272023",1,45
"18","Bartram’s Garden","P726645 071323",1,2023-07-05 11:40:00,2023-07-12 12:05:00,0.17,"REG",0.293,"REG",0.069,"REG",0.472,"REG",1.004,"REG",0.368,"REG",0.104,"REG",0.042,"REG",0.122,"REG",0.079,"REG",0.089,"REG",0.068,"LOD",0.021,"REG",0.013,"REG",0.008,"REG",0.018,"LOD",0.045,"REG",0.019,"LOD",0.045,"REG",0.049,"REG",0.02,"LOD",0.022,"LOD",0.078,"LOD",0.023,"LOD","5.1999999999999998E-2","REG","5.0000000000000001E-3","ND","0.13700000000000001","REG","0.64600000000000002","REG","0.223","REG","7.0000000000000001E-3","ND","6.3E-2","REG","3.6999999999999998E-2","REG","0.193","REG","0.19900000000000001","REG","0.16700000000000001","REG","0.06","REG","0","ND","2E-3","ND","2.3E-2","LOD","1.2E-2","LOD","stationary","39.92896"," -75.212541","#e377c3",NA,"282023",1,47
"19","Essington & Mingo","P726644 071323",2,2023-07-05 12:40:00,2023-07-12 12:28:00,0.202,"REG",0.379,"REG",0.104,"REG",0.737,"REG",1.422,"REG",0.575,"REG",0.162,"REG",0.047,"REG",0.129,"REG",0.093,"REG",0.089,"REG",0.069,"LOD",0.017,"REG",0.018,"REG",0.01,"ND",0.024,"LOD",0.063,"REG",0.022,"LOD",0.03,"LOD",0.058,"REG",0.024,"LOD",0.011,"LOD",0.065,"LOD",0.029,"LOD","6.8000000000000005E-2","REG","6.0000000000000001E-3","LOD","4.5999999999999999E-2","REG","0.875","REG","0.32600000000000001","REG","5.7000000000000002E-2","REG","7.2999999999999995E-2","REG","1.9E-2","REG","0.20599999999999999","REG","0.2","REG","0.14599999999999999","REG","0.06","REG","1.4999999999999999E-2","REG","2E-3","ND","8.9999999999999993E-3","ND","1.4999999999999999E-2","LOD","stationary","39.90131732"," -75.2250262","#7f7f7f",NA,"282023",1,44
"20","61st & Passyunk","P726643 071323",3,2023-07-05 12:52:00,2023-07-12 12:47:00,0.27,"REG",0.877,"REG",0.203,"REG",1.524,"REG",2.874,"REG",1.184,"REG",0.34,"REG",0.047,"REG",0.427,"REG",0.278,"REG",0.281,"REG",0.232,"REG",0.075,"REG",0.013,"REG",0.017,"REG",0.06,"REG",0.143,"REG",0.049,"REG",0.064,"REG",0.149,"REG",0.051,"REG",0.017,"LOD",0.092,"LOD",0.04,"LOD","0.17","REG","3.1E-2","REG","4.8000000000000001E-2","REG","2.2309999999999999","REG","0.79200000000000004","REG","8.5000000000000006E-2","REG","0.13400000000000001","REG","2.8000000000000001E-2","REG","0.59299999999999997","REG","0.186","REG","0.47","REG","0.18","REG","0","ND","2E-3","ND","6.4000000000000001E-2","REG","3.9E-2","REG","stationary","39.91820446"," -75.2085474","#8c564c",NA,"282023",1,46
