"siteweek","site_id","site","site_type","coordinates","lat","long","site_color","industrial_20","land_use","site_traffic","nearby_sources","ind_traf","tube_number","file_name_sampling","file_name","analysis_batch_date","sample_end_date","sample_type","start_date","end_date","time_difference","multiplier","week","sample_length","m_p_xylene_2_old","m_p_xylene_2_new","m_p_xylene_2_flag_old","m_p_xylene_2_flag_new","m_p_xylene_2_ratio","m_p_xylene_2_dis","benzene_old","benzene_new","benzene_flag_old","benzene_flag_new","benzene_ratio","benzene_dis","ethylbenzene_old","ethylbenzene_new","ethylbenzene_flag_old","ethylbenzene_flag_new","ethylbenzene_ratio","ethylbenzene_dis","o_xylene_old","o_xylene_new","o_xylene_flag_old","o_xylene_flag_new","o_xylene_ratio","o_xylene_dis","toluene_old","toluene_new","toluene_flag_old","toluene_flag_new","toluene_ratio","toluene_dis","benzene_1_2_3_trimethyl_old","benzene_1_2_3_trimethyl_new","benzene_1_2_3_trimethyl_flag_old","benzene_1_2_3_trimethyl_flag_new","benzene_1_2_3_trimethyl_ratio","benzene_1_2_3_trimethyl_dis","benzene_1_4_diethyl_old","benzene_1_4_diethyl_new","benzene_1_4_diethyl_flag_old","benzene_1_4_diethyl_flag_new","benzene_1_4_diethyl_ratio","benzene_1_4_diethyl_dis","benzene_1_ethyl_2_methyl_old","benzene_1_ethyl_2_methyl_new","benzene_1_ethyl_2_methyl_flag_old","benzene_1_ethyl_2_methyl_flag_new","benzene_1_ethyl_2_methyl_ratio","benzene_1_ethyl_2_methyl_dis","benzene_1_ethyl_3_methyl_old","benzene_1_ethyl_3_methyl_new","benzene_1_ethyl_3_methyl_flag_old","benzene_1_ethyl_3_methyl_flag_new","benzene_1_ethyl_3_methyl_ratio","benzene_1_ethyl_3_methyl_dis","benzene_1_ethyl_4_methyl_old","benzene_1_ethyl_4_methyl_new","benzene_1_ethyl_4_methyl_flag_old","benzene_1_ethyl_4_methyl_flag_new","benzene_1_ethyl_4_methyl_ratio","benzene_1_ethyl_4_methyl_dis","mesitylene_old","mesitylene_new","mesitylene_flag_old","mesitylene_flag_new","mesitylene_ratio","mesitylene_dis","benzene_propyl_old","benzene_propyl_new","benzene_propyl_flag_old","benzene_propyl_flag_new","benzene_propyl_ratio","benzene_propyl_dis","heptane_old","heptane_new","heptane_flag_old","heptane_flag_new","heptane_ratio","heptane_dis","n_hexane_old","n_hexane_new","n_hexane_flag_old","n_hexane_flag_new","n_hexane_ratio","n_hexane_dis","nonane_old","nonane_new","nonane_flag_old","nonane_flag_new","nonane_ratio","nonane_dis","octane_old","octane_new","octane_flag_old","octane_flag_new","octane_ratio","octane_dis","decane_old","decane_new","decane_flag_old","decane_flag_new","decane_ratio","decane_dis","dodecane_old","dodecane_new","dodecane_flag_old","dodecane_flag_new","dodecane_ratio","dodecane_dis","undecane_old","undecane_new","undecane_flag_old","undecane_flag_new","undecane_ratio","undecane_dis","pentane_2_3_4_trimethyl_old","pentane_2_3_4_trimethyl_new","pentane_2_3_4_trimethyl_flag_old","pentane_2_3_4_trimethyl_flag_new","pentane_2_3_4_trimethyl_ratio","pentane_2_3_4_trimethyl_dis","pentane_2_4_dimethyl_old","pentane_2_4_dimethyl_new","pentane_2_4_dimethyl_flag_old","pentane_2_4_dimethyl_flag_new","pentane_2_4_dimethyl_ratio","pentane_2_4_dimethyl_dis","hexane_2_methyl_old","hexane_2_methyl_new","hexane_2_methyl_flag_old","hexane_2_methyl_flag_new","hexane_2_methyl_ratio","hexane_2_methyl_dis","heptane_3_methyl_old","heptane_3_methyl_new","heptane_3_methyl_flag_old","heptane_3_methyl_flag_new","heptane_3_methyl_ratio","heptane_3_methyl_dis","hexane_3_methyl_old","hexane_3_methyl_new","hexane_3_methyl_flag_old","hexane_3_methyl_flag_new","hexane_3_methyl_ratio","hexane_3_methyl_dis","pentane_3_methyl_old","pentane_3_methyl_new","pentane_3_methyl_flag_old","pentane_3_methyl_flag_new","pentane_3_methyl_ratio","pentane_3_methyl_dis","pentane_2_methyl_old","pentane_2_methyl_new","pentane_2_methyl_flag_old","pentane_2_methyl_flag_new","pentane_2_methyl_ratio","pentane_2_methyl_dis","butane_2_methyl_old","butane_2_methyl_new","butane_2_methyl_flag_old","butane_2_methyl_flag_new","butane_2_methyl_ratio","butane_2_methyl_dis","cyclohexane_methyl_old","cyclohexane_methyl_new","cyclohexane_methyl_flag_old","cyclohexane_methyl_flag_new","cyclohexane_methyl_ratio","cyclohexane_methyl_dis","x1_hexene_old","x1_hexene_new","x1_hexene_flag_old","x1_hexene_flag_new","x1_hexene_ratio","x1_hexene_dis","x2_pentene_z_cis_old","x2_pentene_z_cis_new","x2_pentene_z_cis_flag_old","x2_pentene_z_cis_flag_new","x2_pentene_z_cis_ratio","x2_pentene_z_cis_dis","x1_3_butadiene_2_methyl_old","x1_3_butadiene_2_methyl_new","x1_3_butadiene_2_methyl_flag_old","x1_3_butadiene_2_methyl_flag_new","x1_3_butadiene_2_methyl_ratio","x1_3_butadiene_2_methyl_dis","x2_hexanone_old","x2_hexanone_new","x2_hexanone_flag_old","x2_hexanone_flag_new","x2_hexanone_ratio","x2_hexanone_dis","methyl_isobutyl_ketone_old","methyl_isobutyl_ketone_new","methyl_isobutyl_ketone_flag_old","methyl_isobutyl_ketone_flag_new","methyl_isobutyl_ketone_ratio","methyl_isobutyl_ketone_dis","benzene_1_2_dichloro_old","benzene_1_2_dichloro_new","benzene_1_2_dichloro_flag_old","benzene_1_2_dichloro_flag_new","benzene_1_2_dichloro_ratio","benzene_1_2_dichloro_dis","carbon_tetrachloride_old","carbon_tetrachloride_new","carbon_tetrachloride_flag_old","carbon_tetrachloride_flag_new","carbon_tetrachloride_ratio","carbon_tetrachloride_dis","trichloromethane_old","trichloromethane_new","trichloromethane_flag_old","trichloromethane_flag_new","trichloromethane_ratio","trichloromethane_dis","tetrachloroethylene_old","tetrachloroethylene_new","tetrachloroethylene_flag_old","tetrachloroethylene_flag_new","tetrachloroethylene_ratio","tetrachloroethylene_dis","trichloromonofluoromethane_old","trichloromonofluoromethane_new","trichloromonofluoromethane_flag_old","trichloromonofluoromethane_flag_new","trichloromonofluoromethane_ratio","trichloromonofluoromethane_dis"
"61st & Passyunk122024",3,"61st & Passyunk","stationary","39.91820446, -75.2085474",39.91820446,-75.2085474,"#00B9E3","Industrial","Industrial","High","Auto body shop, junkyard, gas station","HighT/I","P726644","P726644 040224 032024 61st & Passyunk SS","P726644 040224 032024 61st & Passyunk SS.D","2024-04-02","2024-03-20","sample","2024-03-13","2024-03-20",9661,2,122024,1,2.02,2.1707,"REG","REG",0.93,"CHECK",0.488,0.524,"REG","REG",0.93,NA,0.283,0.3041,"REG","REG",0.93,NA,0.416,0.4457,"REG","REG",0.93,NA,1.252,1.3989,"REG","REG",0.89,"CHECK",0.066,0.0707,"REG","REG",0.93,NA,0.044,0.0473,"REG","REG",0.93,NA,0.063,0.0671,"REG","REG",0.94,NA,0.179,0.1923,"REG","REG",0.93,NA,0.08,0.0858,"REG","REG",0.93,NA,0.184,0.1979,"REG","REG",0.93,NA,0.088,0.094,"REG","REG",0.94,NA,0.407,0.437,"REG","REG",0.93,NA,0.679,0.729,"REG","REG",0.93,NA,0.101,0.1074,"REG","REG",0.94,NA,0.127,0.1327,"REG","REG",0.96,NA,0.094,0.0991,"REG","REG",0.95,NA,0.033,0.0348,"LOD","LOD",0.95,NA,0.088,0.095,"REG","REG",0.93,NA,0.193,0.207,"REG","REG",0.93,NA,0.221,0.2372,"REG","REG",0.93,NA,0.39,0.4195,"REG","REG",0.93,NA,0.315,0.3391,"REG","REG",0.93,NA,0.869,0.9319,"REG","REG",0.93,NA,1.707,1.8351,"REG","REG",0.93,"CHECK",4.495,4.8176,"REG","REG",0.93,"CHECK",0.205,0.216,"ULOD","ULOD",0.95,NA,0.9,0.9664,"REG","REG",0.93,NA,0.106,0.1097,"REG","REG",0.97,NA,0.026,0.0235,"REG","REG",1.11,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0.01,0.0113,"REG","REG",0.88,NA,0.006,0.0151,"ND","LOD",0.4,NA,0.333,0.3574,"REG","REG",0.93,NA,0.026,0.028,"REG","REG",0.93,NA,0.021,0.0228,"REG","REG",0.92,NA,0.211,0.2254,"REG","REG",0.94,NA
"61st & Passyunk202024",3,"61st & Passyunk","stationary","39.91820446, -75.2085474",39.91820446,-75.2085474,"#00B9E3","Industrial","Industrial","High","Auto body shop, junkyard, gas station","HighT/I","P733847","P733847 052324 051524 61st SS","P733847 052324 051524 61st SS.D","2024-05-23","2024-05-15","sample","2024-05-08","2024-05-15",9425,2,202024,1,0.681,0.7329,"REG","REG",0.93,NA,0.282,0.305,"REG","REG",0.92,NA,0.087,0.0934,"REG","REG",0.93,NA,0.137,0.148,"REG","REG",0.93,NA,0.406,0.4366,"REG","REG",0.93,NA,0.026,0.0282,"LOD","LOD",0.92,NA,0.015,0.0162,"LOD","LOD",0.93,NA,0.02,0.022,"LOD","LOD",0.91,NA,0.059,0.0633,"REG","REG",0.93,NA,0.03,0.032,"REG","REG",0.94,NA,0.073,0.0787,"REG","REG",0.93,NA,0.03,0.0322,"LOD","LOD",0.93,NA,0.139,0.1492,"REG","REG",0.93,NA,0.208,0.2235,"REG","REG",0.93,NA,0.101,0.1091,"REG","REG",0.93,NA,0.06,0.065,"REG","REG",0.92,NA,0.051,0.0554,"REG","REG",0.92,NA,0.032,0.0344,"LOD","LOD",0.93,NA,0.069,0.0743,"LOD","LOD",0.93,NA,0.078,0.0836,"REG","REG",0.93,NA,0.052,0.0565,"REG","REG",0.92,NA,0.138,0.1485,"REG","REG",0.93,NA,0.093,0.0999,"REG","REG",0.93,NA,0.313,0.3364,"REG","REG",0.93,NA,0.586,0.6312,"REG","REG",0.93,NA,1.502,1.6168,"REG","REG",0.93,"CHECK",0.14,0.1509,"ULOD","ULOD",0.93,NA,0.342,0.3686,"REG","REG",0.93,NA,0.025,0.0268,"REG","REG",0.93,NA,0.013,0.0135,"LOD","LOD",0.96,NA,0.003,0.0037,"ND","ND",0.81,NA,0.014,0.0145,"REG","REG",0.97,NA,0.009,0.0097,"REG","REG",0.93,NA,0.009,0.0094,"LOD","LOD",0.96,NA,0.369,0.3969,"REG","REG",0.93,NA,0.026,0.0278,"REG","REG",0.94,NA,0.009,0.0094,"REG","REG",0.96,NA,0.173,0.1864,"REG","REG",0.93,NA
"61st & Passyunk232024",3,"61st & Passyunk","stationary","39.91820446, -75.2085474",39.91820446,-75.2085474,"#00B9E3","Industrial","Industrial","High","Auto body shop, junkyard, gas station","HighT/I","P726614","P726614 060724 060524 61st SS","P726614 060724 060524 61st SS.D","2024-06-07","2024-06-05","sample","2024-05-29","2024-06-05",9349,2,232024,1,0.895,0.9634,"REG","REG",0.93,NA,0.219,0.2373,"REG","REG",0.92,NA,0.113,0.1222,"REG","REG",0.92,NA,0.187,0.2018,"REG","REG",0.93,NA,0.488,0.5255,"REG","REG",0.93,NA,0.034,0.0363,"LOD","LOD",0.94,NA,0.018,0.0196,"LOD","LOD",0.92,NA,0.027,0.0295,"LOD","LOD",0.92,NA,0.07,0.0751,"REG","REG",0.93,NA,0.03,0.0321,"REG","REG",0.93,NA,0.09,0.0967,"REG","REG",0.93,NA,0.03,0.0324,"LOD","LOD",0.93,NA,0.177,0.1908,"REG","REG",0.93,NA,0.226,0.2432,"REG","REG",0.93,NA,0.038,0.041,"REG","REG",0.93,NA,0.051,0.0553,"REG","REG",0.92,NA,0.048,0.0519,"LOD","LOD",0.92,NA,0.021,0.0231,"LOD","LOD",0.91,NA,0.057,0.0613,"LOD","LOD",0.93,NA,0.072,0.0778,"REG","REG",0.93,NA,0.083,0.089,"REG","REG",0.93,NA,0.159,0.1711,"REG","REG",0.93,NA,0.129,0.1384,"REG","REG",0.93,NA,0.339,0.3652,"REG","REG",0.93,NA,0.519,0.559,"REG","REG",0.93,NA,1.4,1.5077,"REG","REG",0.93,"CHECK",0.096,0.1045,"REG","REG",0.92,NA,0.46,0.4954,"REG","REG",0.93,NA,0.045,0.0455,"REG","REG",0.99,NA,0.007,0.0072,"LOD","LOD",0.97,NA,0.035,0.0382,"REG","REG",0.92,NA,0.002,0.0018,"ND","ND",1.11,NA,0.01,0.0113,"REG","REG",0.88,NA,0.018,0.0196,"REG","REG",0.92,NA,0.143,0.1539,"REG","REG",0.93,NA,0.019,0.02,"REG","REG",0.95,NA,0.009,0.0095,"REG","REG",0.95,NA,0.043,0.0458,"REG","REG",0.94,NA
"28th & Passyunk272023",4,"28th & Passyunk","stationary","39.92061091, -75.1955879",39.92061091,-75.1955879,"#00BA38","Industrial","Vacant","High","Oil terminal, gas station, former refinery site, natural gas terminal","HighT/I","P733881","P733881 071323 070523 28th & Passyunk 1WK SS","P733881 071323 070523 28th _ Passyunk 1WK SS.D","2023-07-13","2023-07-05","sample","2023-06-28","2023-07-05",9287,2,272023,1,0.892,0.9614,"REG","REG",0.93,NA,0.372,0.4004,"REG","REG",0.93,NA,0.15,0.1615,"REG","REG",0.93,NA,0.226,0.2437,"REG","REG",0.93,NA,0.385,0.4152,"REG","REG",0.93,NA,0.061,0.0654,"REG","REG",0.93,NA,0.021,0.023,"LOD","LOD",0.91,NA,0.045,0.0483,"REG","REG",0.93,NA,0.102,0.1096,"REG","REG",0.93,NA,0.041,0.0447,"REG","REG",0.92,NA,0.158,0.1705,"REG","REG",0.93,NA,0.067,0.0718,"REG","REG",0.93,NA,0.463,0.4993,"REG","REG",0.93,NA,0.47,0.5061,"REG","REG",0.93,NA,0.032,0.034,"REG","REG",0.94,NA,0.146,0.1576,"REG","REG",0.93,NA,0.084,0.0906,"REG","REG",0.93,NA,0.045,0.0487,"LOD","LOD",0.92,NA,0.106,0.114,"REG","REG",0.93,NA,0.375,0.4046,"REG","REG",0.93,NA,0.188,0.2042,"REG","REG",0.92,NA,0.333,0.3589,"REG","REG",0.93,NA,0.481,0.5178,"REG","REG",0.93,NA,0.853,0.9192,"REG","REG",0.93,NA,0.962,1.0492,"REG","REG",0.92,NA,2.132,2.2817,"REG","REG",0.93,"CHECK",0.095,0.0926,"REG","REG",1.03,NA,2.114,2.2782,"REG","REG",0.93,"CHECK",0.062,0.0619,"REG","REG",1,NA,0.005,0.0052,"ND","ND",0.96,NA,0.035,0.0397,"REG","REG",0.88,NA,0.002,0.0018,"ND","ND",1.11,NA,0,5e-4,"ND","ND",0,NA,0.006,0.006,"LOD","LOD",1,NA,0.173,0.1859,"REG","REG",0.93,NA,0.019,0.0201,"REG","REG",0.95,NA,0.009,0.0096,"REG","REG",0.94,NA,0.033,0.0359,"REG","REG",0.92,NA
"28th & Passyunk282023",4,"28th & Passyunk","stationary","39.92061091, -75.1955879",39.92061091,-75.1955879,"#00BA38","Industrial","Vacant","High","Oil terminal, gas station, former refinery site, natural gas terminal","HighT/I","P726646","P726646 071323 071223 28th & Passyunk 1WK SS","P726646 071323 071223 28th & Passyunk 1WK SS.D","2023-07-13","2023-07-12","sample","2023-07-05","2023-07-12",9356,2,282023,1,2.836,3.0538,"REG","REG",0.93,"CHECK",0.444,0.4776,"REG","REG",0.93,NA,0.417,0.4489,"REG","REG",0.93,NA,0.684,0.7369,"REG","REG",0.93,NA,0.864,0.9307,"REG","REG",0.93,NA,0.188,0.2028,"REG","REG",0.93,NA,0.182,0.1955,"REG","REG",0.93,NA,0.14,0.1511,"REG","REG",0.93,NA,0.32,0.345,"REG","REG",0.93,NA,0.165,0.1775,"REG","REG",0.93,NA,0.571,0.6146,"REG","REG",0.93,NA,0.217,0.2332,"REG","REG",0.93,NA,1.101,1.1852,"REG","REG",0.93,NA,1.241,1.336,"REG","REG",0.93,NA,0.183,0.1966,"REG","REG",0.93,NA,0.344,0.3702,"REG","REG",0.93,NA,0.015,0.0159,"ND","ND",0.94,NA,0.136,0.1466,"REG","REG",0.93,NA,0.297,0.3198,"REG","REG",0.93,NA,0.614,0.6607,"REG","REG",0.93,NA,0.479,0.5157,"REG","REG",0.93,NA,1.317,1.418,"REG","REG",0.93,"CHECK",1.703,1.8343,"REG","REG",0.93,"CHECK",3.328,3.5845,"REG","REG",0.93,"CHECK",3.054,3.2887,"ULOD","ULOD",0.93,"CHECK",5.657,6.0923,"ULOD","ULOD",0.93,"CHECK",0.201,0.2164,"ULOD","ULOD",0.93,NA,3.134,3.3753,"ULOD","ULOD",0.93,"CHECK",0.285,0.3071,"REG","REG",0.93,NA,0.012,0.0135,"REG","REG",0.89,NA,0.033,0.0359,"REG","REG",0.92,NA,0.002,0.0018,"ND","ND",1.11,NA,0,5e-4,"ND","ND",0,NA,0.006,0.0064,"ND","ND",0.94,NA,0.171,0.1845,"REG","REG",0.93,NA,0.001,0.0012,"ND","ND",0.83,NA,0.013,0.0143,"REG","REG",0.91,NA,0.043,0.0458,"REG","REG",0.94,NA
"28th & Passyunk292023",4,"28th & Passyunk","stationary","39.92061091, -75.1955879",39.92061091,-75.1955879,"#00BA38","Industrial","Vacant","High","Oil terminal, gas station, former refinery site, natural gas terminal","HighT/I","P637227","P637227 072723 071923 28th & Passyunk 1WK DS","P637227 072723 071923 28th & Passyunk 1WK DS.D","2023-07-27","2023-07-19","sample","2023-07-12","2023-07-19",9370,14.3,292023,1,7.737,8.3317,"REG","REG",0.93,"CHECK",1.168,1.2577,"REG","REG",0.93,NA,1.169,1.2591,"REG","REG",0.93,NA,1.977,2.1286,"REG","REG",0.93,"CHECK",2.764,2.9766,"REG","REG",0.93,"CHECK",0.009,0.0094,"ND","ND",0.96,NA,0.007,0.0078,"ND","ND",0.9,NA,0.415,0.4473,"REG","REG",0.93,NA,0.97,1.0442,"REG","REG",0.93,NA,0.455,0.4895,"REG","REG",0.93,NA,1.594,1.7169,"REG","REG",0.93,"CHECK",0.816,0.8787,"REG","REG",0.93,NA,2.952,3.1785,"REG","REG",0.93,"CHECK",2.825,3.0416,"REG","REG",0.93,"CHECK",0.893,0.9611,"REG","REG",0.93,NA,0.006,0.0066,"ND","ND",0.91,NA,1.187,1.2781,"REG","REG",0.93,NA,0.905,0.9748,"REG","REG",0.93,NA,2.166,2.3321,"REG","REG",0.93,"CHECK",0.014,0.0146,"ND","ND",0.96,NA,2.052,2.2092,"REG","REG",0.93,"CHECK",3.118,3.3575,"REG","REG",0.93,"CHECK",5.167,5.5644,"REG","REG",0.93,"CHECK",9.247,9.9572,"REG","REG",0.93,"CHECK",12.719,13.6962,"REG","REG",0.93,"CHECK",27.386,29.4903,"REG","REG",0.93,"CHECK",1.257,1.3533,"REG","REG",0.93,NA,22.378,24.0971,"ULOD","ULOD",0.93,"CHECK",0.303,0.3263,"REG","REG",0.93,NA,0.04,0.0432,"LOD","LOD",0.93,NA,0.09,0.0975,"LOD","LOD",0.92,NA,0.002,0.0018,"ND","ND",1.11,NA,0,5e-4,"ND","ND",0,NA,0.006,0.0064,"ND","ND",0.94,NA,0.007,0.0077,"ND","ND",0.91,NA,0.001,0.0012,"ND","ND",0.83,NA,0.063,0.0678,"REG","REG",0.93,NA,0.169,0.1817,"REG","REG",0.93,NA
"28th & Passyunk302023",4,"28th & Passyunk","stationary","39.92061091, -75.1955879",39.92061091,-75.1955879,"#00BA38","Industrial","Vacant","High","Oil terminal, gas station, former refinery site, natural gas terminal","HighT/I","P726612","P726612 072823 072623 28th & Passyunk 1WK DS","P726612 072823 072623 28th _ Passyunk 1WK DS.D","2023-07-28","2023-07-26","sample","2023-07-19","2023-07-26",9924,14.3,302023,1,3.75,3.7496,"REG","REG",1,NA,0.557,0.557,"REG","REG",1,NA,0.396,0.3963,"REG","REG",1,NA,0.986,0.9859,"REG","REG",1,NA,1.063,1.0629,"REG","REG",1,NA,0.009,0.3555,"ND","REG",0.03,"CHECK",0.308,0.3075,"REG","REG",1,NA,0.224,0.2236,"LOD","LOD",1,NA,0.556,0.5562,"REG","REG",1,NA,0.19,0.1903,"LOD","LOD",1,NA,0.901,0.9006,"REG","REG",1,NA,0.218,0.2183,"LOD","LOD",1,NA,0.956,0.9558,"REG","REG",1,NA,1.047,1.0466,"REG","REG",1,NA,0.359,0.3586,"REG","REG",1,NA,0.375,0.3746,"REG","REG",1,NA,0.434,0.4335,"REG","REG",1,NA,0.453,0.453,"REG","REG",1,NA,0.905,0.905,"REG","REG",1,NA,0.786,0.786,"REG","REG",1,NA,0.526,0.5275,"REG","REG",1,NA,1.009,1.0087,"REG","REG",1,NA,1.439,1.4395,"REG","REG",1,NA,2.548,2.548,"REG","REG",1,NA,3.904,3.9164,"REG","REG",1,NA,9.057,9.043,"REG","REG",1,NA,0.578,0.569,"REG","REG",1.02,NA,4.854,4.8537,"REG","REG",1,NA,0.147,0.1425,"LOD","LOD",1.03,NA,0.005,0.0049,"ND","ND",1.02,NA,0.091,0.092,"LOD","LOD",0.99,NA,0.002,0.0017,"ND","ND",1.18,NA,0,5e-4,"ND","ND",0,NA,0.04,0.04,"LOD","LOD",1,NA,0.518,0.5183,"REG","REG",1,NA,0.067,0.0673,"REG","REG",1,NA,0.032,0.032,"REG","REG",1,NA,0.206,0.2059,"REG","REG",1,NA
"28th & Passyunk342023",4,"28th & Passyunk","stationary","39.92061091, -75.1955879",39.92061091,-75.1955879,"#00BA38","Industrial","Vacant","High","Oil terminal, gas station, former refinery site, natural gas terminal","HighT/I","P733898","P733898 082523 082323 28th & Passyunk SS","P733898 082523 082323 28th _ Passyunk SS.D","2023-08-25","2023-08-23","sample","2023-08-16","2023-08-23",9984,2,342023,1,1.115,1.1149,"REG","REG",1,NA,0.624,0.6229,"REG","REG",1,NA,0.21,0.2103,"REG","REG",1,NA,0.3,0.3005,"REG","REG",1,NA,0.78,0.78,"REG","REG",1,NA,0.009,0.0088,"ND","ND",1.02,NA,0.007,0.0824,"ND","REG",0.08,NA,0.066,0.0656,"REG","REG",1.01,NA,0.154,0.154,"REG","REG",1,NA,0.06,0.0598,"REG","REG",1,NA,0.216,0.21560000000000001,"REG","REG",1,NA,0.073,0.0728,"REG","REG",1,NA,0.467,0.4674,"REG","REG",1,NA,0.421,0.4207,"REG","REG",1,NA,0.335,0.3355,"REG","REG",1,NA,0.288,0.288,"REG","REG",1,NA,0.246,0.2459,"REG","REG",1,NA,0.228,0.2283,"REG","REG",1,NA,0.381,0.3806,"REG","REG",1,NA,0.014,0.3157,"ND","REG",0.04,"CHECK",0.011,0.1667,"ND","REG",0.07,"CHECK",0.367,0.3673,"REG","REG",1,NA,0.562,0.5617,"REG","REG",1,NA,0.021,0.9283,"ND","REG",0.02,"CHECK",0.018,0.904,"ND","REG",0.02,"CHECK",0.039,2.1304,"ND","REG",0.02,"CHECK",0,0.1494,"ND","REG",0,"CHECK",0.021,1.7291,"ND","REG",0.01,"CHECK",0.029,0.19,"REG","REG",0.15,"CHECK",0.027,0.0269,"REG","REG",1,NA,0.003,0.0608,"ND","REG",0.05,NA,0.002,0.0017,"ND","ND",1.18,NA,0,5e-4,"ND","ND",0,NA,0.022,0.0223,"LOD","LOD",0.99,NA,0.007,0.3315,"ND","REG",0.02,"CHECK",0.001,0.0562,"ND","REG",0.02,NA,0.022,0.0223,"REG","REG",0.99,NA,0.086,0.0859,"REG","REG",1,NA
"28th & Passyunk432023",4,"28th & Passyunk","stationary","39.92061091, -75.1955879",39.92061091,-75.1955879,"#00BA38","Industrial","Vacant","High","Oil terminal, gas station, former refinery site, natural gas terminal","HighT/I","P726618","P726618 102723 102523 28th and Passyunk SS","P726618 102723 102523 28th and Passyunk SS.D","2023-10-27","2023-10-25","sample","2023-10-18","2023-10-25",10089,2,432023,1,8.487,6.0448,"ULOD","REG",1.4,"CHECK",2.445,2.4439,"ULOD","ULOD",1,NA,2.314,2.3139,"REG","REG",1,NA,3.13,3.13,"ULOD","ULOD",1,NA,1.677,0.0011,"ULOD","ND",1524.55,"CHECK",0.331,0.331,"REG","REG",1,NA,0.269,0.2689,"REG","REG",1,NA,0.308,0.3076,"REG","REG",1,NA,0.696,0.6956,"ULOD","ULOD",1,NA,0.527,0.4114,"REG","REG",1.28,"CHECK",1.461,1.4612,"REG","REG",1,NA,0.469,0.4686,"REG","REG",1,NA,2.541,2.5406,"ULOD","ULOD",1,NA,2.637,2.6365,"ULOD","ULOD",1,NA,0.32,0.0097,"REG","ND",32.99,"CHECK",0.793,0.7934,"ULOD","ULOD",1,NA,0.015,0.0147,"ND","ND",1.02,NA,0.077,0.0659,"REG","REG",1.17,NA,0.185,0.1454,"REG","REG",1.27,NA,1.201,1.2014,"ULOD","ULOD",1,NA,0.66,0.6597,"ULOD","ULOD",1,NA,1.321,1.3209,"ULOD","ULOD",1,NA,2.332,2.3322,"ULOD","ULOD",1,NA,2.418,2.4175,"ULOD","ULOD",1,NA,2.033,2.0332,"ULOD","ULOD",1,NA,3.776,3.7759,"ULOD","ULOD",1,NA,0.141,0.1407,"ULOD","ULOD",1,NA,2.086,2.0856,"ULOD","ULOD",1,NA,1.339,1.3387,"REG","REG",1,NA,0.717,0.7171,"REG","REG",1,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0,5e-4,"ND","ND",0,NA,0.015,0.0154,"LOD","LOD",0.97,NA,0.007,0.0071,"ND","ND",0.99,NA,0.001,0.0012,"ND","ND",0.83,NA,0.022,0.022,"REG","REG",1,NA,0.127,6e-4,"REG","ND",211.67,"CHECK"
"28th & Passyunk502023",4,"28th & Passyunk","stationary","39.92061091, -75.1955879",39.92061091,-75.1955879,"#00BA38","Industrial","Vacant","High","Oil terminal, gas station, former refinery site, natural gas terminal","HighT/I","P726666","P726666 122123 121323 28th & Passyunk SS","P726666 122123 121323 28th & Passyunk SS.D","2023-12-21","2023-12-13","sample","2023-12-06","2023-12-13",9460,2,502023,1,2.675,2.879,"REG","REG",0.93,"CHECK",0.655,0.7036,"REG","REG",0.93,NA,0.352,0.379,"REG","REG",0.93,NA,0.5,0.538,"REG","REG",0.93,NA,0.999,1.0755,"REG","REG",0.93,NA,0.179,0.1926,"REG","REG",0.93,NA,0.129,0.1386,"REG","REG",0.93,NA,0.105,0.113,"REG","REG",0.93,NA,0.265,0.2856,"REG","REG",0.93,NA,0.126,0.1356,"REG","REG",0.93,NA,0.434,0.4669,"REG","REG",0.93,NA,0.149,0.1602,"REG","REG",0.93,NA,0.63,0.6779,"REG","REG",0.93,NA,1.106,1.1903,"REG","REG",0.93,NA,0.421,0.4535,"REG","REG",0.93,NA,0.24,0.2581,"REG","REG",0.93,NA,0.544,0.5858,"REG","REG",0.93,NA,0.212,0.2286,"REG","REG",0.93,NA,0.481,0.518,"REG","REG",0.93,NA,0.274,0.2947,"REG","REG",0.93,NA,0.369,0.3975,"REG","REG",0.93,NA,0.786,0.8457,"REG","REG",0.93,NA,0.659,0.7089,"REG","REG",0.93,NA,1.689,1.8177,"REG","REG",0.93,"CHECK",2.015,2.1684,"ULOD","ULOD",0.93,"CHECK",3.738,4.023,"ULOD","ULOD",0.93,"CHECK",0.14,0.1508,"ULOD","ULOD",0.93,NA,2.068,2.2254,"ULOD","ULOD",0.93,"CHECK",0.185,0.1993,"REG","REG",0.93,NA,0.076,0.0816,"REG","REG",0.93,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0.009,0.0097,"REG","REG",0.93,NA,0.014,0.0153,"LOD","LOD",0.92,NA,0.367,0.3955,"REG","REG",0.93,NA,0.046,0.0494,"REG","REG",0.93,NA,0.022,0.0235,"REG","REG",0.94,NA,0.248,0.2668,"REG","REG",0.93,NA
