"siteweek","site_id","site","site_type","coordinates","lat","long","site_color","industrial_20","land_use","site_traffic","nearby_sources","ind_traf","tube_number","file_name_sampling","file_name","analysis_batch_date","sample_end_date","sample_type","start_date","end_date","time_difference","multiplier","week","sample_length","m_p_xylene_2_old","m_p_xylene_2_new","m_p_xylene_2_flag_old","m_p_xylene_2_flag_new","m_p_xylene_2_ratio","m_p_xylene_2_dis","benzene_old","benzene_new","benzene_flag_old","benzene_flag_new","benzene_ratio","benzene_dis","ethylbenzene_old","ethylbenzene_new","ethylbenzene_flag_old","ethylbenzene_flag_new","ethylbenzene_ratio","ethylbenzene_dis","o_xylene_old","o_xylene_new","o_xylene_flag_old","o_xylene_flag_new","o_xylene_ratio","o_xylene_dis","toluene_old","toluene_new","toluene_flag_old","toluene_flag_new","toluene_ratio","toluene_dis","benzene_1_2_3_trimethyl_old","benzene_1_2_3_trimethyl_new","benzene_1_2_3_trimethyl_flag_old","benzene_1_2_3_trimethyl_flag_new","benzene_1_2_3_trimethyl_ratio","benzene_1_2_3_trimethyl_dis","benzene_1_4_diethyl_old","benzene_1_4_diethyl_new","benzene_1_4_diethyl_flag_old","benzene_1_4_diethyl_flag_new","benzene_1_4_diethyl_ratio","benzene_1_4_diethyl_dis","benzene_1_ethyl_2_methyl_old","benzene_1_ethyl_2_methyl_new","benzene_1_ethyl_2_methyl_flag_old","benzene_1_ethyl_2_methyl_flag_new","benzene_1_ethyl_2_methyl_ratio","benzene_1_ethyl_2_methyl_dis","benzene_1_ethyl_3_methyl_old","benzene_1_ethyl_3_methyl_new","benzene_1_ethyl_3_methyl_flag_old","benzene_1_ethyl_3_methyl_flag_new","benzene_1_ethyl_3_methyl_ratio","benzene_1_ethyl_3_methyl_dis","benzene_1_ethyl_4_methyl_old","benzene_1_ethyl_4_methyl_new","benzene_1_ethyl_4_methyl_flag_old","benzene_1_ethyl_4_methyl_flag_new","benzene_1_ethyl_4_methyl_ratio","benzene_1_ethyl_4_methyl_dis","mesitylene_old","mesitylene_new","mesitylene_flag_old","mesitylene_flag_new","mesitylene_ratio","mesitylene_dis","benzene_propyl_old","benzene_propyl_new","benzene_propyl_flag_old","benzene_propyl_flag_new","benzene_propyl_ratio","benzene_propyl_dis","heptane_old","heptane_new","heptane_flag_old","heptane_flag_new","heptane_ratio","heptane_dis","n_hexane_old","n_hexane_new","n_hexane_flag_old","n_hexane_flag_new","n_hexane_ratio","n_hexane_dis","nonane_old","nonane_new","nonane_flag_old","nonane_flag_new","nonane_ratio","nonane_dis","octane_old","octane_new","octane_flag_old","octane_flag_new","octane_ratio","octane_dis","decane_old","decane_new","decane_flag_old","decane_flag_new","decane_ratio","decane_dis","dodecane_old","dodecane_new","dodecane_flag_old","dodecane_flag_new","dodecane_ratio","dodecane_dis","undecane_old","undecane_new","undecane_flag_old","undecane_flag_new","undecane_ratio","undecane_dis","pentane_2_3_4_trimethyl_old","pentane_2_3_4_trimethyl_new","pentane_2_3_4_trimethyl_flag_old","pentane_2_3_4_trimethyl_flag_new","pentane_2_3_4_trimethyl_ratio","pentane_2_3_4_trimethyl_dis","pentane_2_4_dimethyl_old","pentane_2_4_dimethyl_new","pentane_2_4_dimethyl_flag_old","pentane_2_4_dimethyl_flag_new","pentane_2_4_dimethyl_ratio","pentane_2_4_dimethyl_dis","hexane_2_methyl_old","hexane_2_methyl_new","hexane_2_methyl_flag_old","hexane_2_methyl_flag_new","hexane_2_methyl_ratio","hexane_2_methyl_dis","heptane_3_methyl_old","heptane_3_methyl_new","heptane_3_methyl_flag_old","heptane_3_methyl_flag_new","heptane_3_methyl_ratio","heptane_3_methyl_dis","hexane_3_methyl_old","hexane_3_methyl_new","hexane_3_methyl_flag_old","hexane_3_methyl_flag_new","hexane_3_methyl_ratio","hexane_3_methyl_dis","pentane_3_methyl_old","pentane_3_methyl_new","pentane_3_methyl_flag_old","pentane_3_methyl_flag_new","pentane_3_methyl_ratio","pentane_3_methyl_dis","pentane_2_methyl_old","pentane_2_methyl_new","pentane_2_methyl_flag_old","pentane_2_methyl_flag_new","pentane_2_methyl_ratio","pentane_2_methyl_dis","butane_2_methyl_old","butane_2_methyl_new","butane_2_methyl_flag_old","butane_2_methyl_flag_new","butane_2_methyl_ratio","butane_2_methyl_dis","cyclohexane_methyl_old","cyclohexane_methyl_new","cyclohexane_methyl_flag_old","cyclohexane_methyl_flag_new","cyclohexane_methyl_ratio","cyclohexane_methyl_dis","x1_hexene_old","x1_hexene_new","x1_hexene_flag_old","x1_hexene_flag_new","x1_hexene_ratio","x1_hexene_dis","x2_pentene_z_cis_old","x2_pentene_z_cis_new","x2_pentene_z_cis_flag_old","x2_pentene_z_cis_flag_new","x2_pentene_z_cis_ratio","x2_pentene_z_cis_dis","x1_3_butadiene_2_methyl_old","x1_3_butadiene_2_methyl_new","x1_3_butadiene_2_methyl_flag_old","x1_3_butadiene_2_methyl_flag_new","x1_3_butadiene_2_methyl_ratio","x1_3_butadiene_2_methyl_dis","x2_hexanone_old","x2_hexanone_new","x2_hexanone_flag_old","x2_hexanone_flag_new","x2_hexanone_ratio","x2_hexanone_dis","methyl_isobutyl_ketone_old","methyl_isobutyl_ketone_new","methyl_isobutyl_ketone_flag_old","methyl_isobutyl_ketone_flag_new","methyl_isobutyl_ketone_ratio","methyl_isobutyl_ketone_dis","benzene_1_2_dichloro_old","benzene_1_2_dichloro_new","benzene_1_2_dichloro_flag_old","benzene_1_2_dichloro_flag_new","benzene_1_2_dichloro_ratio","benzene_1_2_dichloro_dis","carbon_tetrachloride_old","carbon_tetrachloride_new","carbon_tetrachloride_flag_old","carbon_tetrachloride_flag_new","carbon_tetrachloride_ratio","carbon_tetrachloride_dis","trichloromethane_old","trichloromethane_new","trichloromethane_flag_old","trichloromethane_flag_new","trichloromethane_ratio","trichloromethane_dis","tetrachloroethylene_old","tetrachloroethylene_new","tetrachloroethylene_flag_old","tetrachloroethylene_flag_new","tetrachloroethylene_ratio","tetrachloroethylene_dis","trichloromonofluoromethane_old","trichloromonofluoromethane_new","trichloromonofluoromethane_flag_old","trichloromonofluoromethane_flag_new","trichloromonofluoromethane_ratio","trichloromonofluoromethane_dis"
"Bartram’s Garden72024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733841","P733841 021624 021424 Bartrams SS","P733841 021624 021424 Bartrams SS.D","2024-02-16","2024-02-14","sample","2024-02-07","2024-02-14",10037,2,72024,1,1.279,1.2788,"REG","REG",1,NA,0.75,0.7503,"REG","REG",1,NA,0.203,0.203,"REG","REG",1,NA,0.282,0.2822,"REG","REG",1,NA,1.124,1.1243,"REG","REG",1,NA,0.034,0.034,"LOD","LOD",1,NA,0.021,0.0213,"LOD","LOD",0.99,NA,0.034,0.0344,"LOD","LOD",0.99,NA,0.091,0.0909,"REG","REG",1,NA,0.045,0.0451,"REG","REG",1,NA,0.133,0.1328,"REG","REG",1,NA,0.048,0.0483,"LOD","LOD",0.99,NA,0.374,0.374,"REG","REG",1,NA,0.648,0.6484,"REG","REG",1,NA,0.043,0.043,"REG","REG",1,NA,0.064,0.0641,"REG","REG",1,NA,0.069,0.0693,"REG","REG",1,NA,0.026,0.0263,"LOD","LOD",0.99,NA,0.072,0.0722,"LOD","LOD",1,NA,0.115,0.1147,"REG","REG",1,NA,0.109,0.1094,"REG","REG",1,NA,0.285,0.2852,"REG","REG",1,NA,0.199,0.1985,"REG","REG",1,NA,0.632,0.6318,"REG","REG",1,NA,0.899,0.8992,"REG","REG",1,NA,2.239,2.2393,"REG","REG",1,NA,0.216,0.2162,"ULOD","ULOD",1,NA,0.618,0.6181,"REG","REG",1,NA,0.007,0.0066,"ND","ND",1.06,NA,0.025,0.0251,"REG","REG",1,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0,5e-4,"ND","ND",0,NA,0.02,0.0201,"REG","REG",1,NA,0.416,0.4157,"REG","REG",1,NA,0.054,0.0535,"REG","REG",1.01,NA,0.04,0.0399,"REG","REG",1,NA,0.228,0.2277,"REG","REG",1,NA
"Bartram’s Garden82024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726649","P726649 022924 022124 Bartrams SS","P726649 022924 022124 Bartrams SS.D","2024-02-29","2024-02-21","sample","2024-02-14","2024-02-21",10089,2,82024,1,0.366,0.3659,"REG","REG",1,NA,0.437,0.4367,"REG","REG",1,NA,0.063,0.0632,"REG","REG",1,NA,0.077,0.0773,"REG","REG",1,NA,0.355,0.3551,"REG","REG",1,NA,0.011,0.0113,"LOD","LOD",0.97,NA,0.007,0.0073,"ND","ND",0.96,NA,0.01,0.0103,"LOD","LOD",0.97,NA,0.021,0.0209,"LOD","LOD",1,NA,0.011,0.0112,"LOD","LOD",0.98,NA,0.033,0.033,"REG","REG",1,NA,0.012,0.012,"LOD","LOD",1,NA,0.142,0.1419,"REG","REG",1,NA,0.209,0.209,"REG","REG",1,NA,0.09,0.09,"REG","REG",1,NA,0.06,0.0596,"REG","REG",1.01,NA,0.03,0.0302,"LOD","LOD",0.99,NA,0.01,0.01,"LOD","LOD",1,NA,0.039,0.0388,"LOD","LOD",1.01,NA,0.03,0.03,"LOD","LOD",1,NA,0.03,0.0297,"LOD","LOD",1.01,NA,0.072,0.0723,"REG","REG",1,NA,0.046,0.0459,"LOD","LOD",1,NA,0.169,0.1692,"REG","REG",1,NA,0.264,0.2643,"REG","REG",1,NA,0.661,0.6608,"REG","REG",1,NA,0.133,0.1334,"REG","REG",1,NA,0.125,0.1245,"REG","REG",1,NA,0.033,0.0335,"REG","REG",0.99,NA,0.005,0.005,"LOD","LOD",1,NA,0.003,0.0034,"ND","ND",0.88,NA,0.014,0.0135,"REG","REG",1.04,NA,0,5e-4,"ND","ND",0,NA,0.014,0.0145,"LOD","LOD",0.97,NA,0.456,0.4564,"REG","REG",1,NA,0.044,0.044,"REG","REG",1,NA,0.018,0.0176,"REG","REG",1.02,NA,0.354,0.354,"REG","REG",1,NA
"Bartram’s Garden92024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733882","P733882 030124 022824 Bartrams SS","P733882 030124 022824 Bartrams SS.D","2024-03-01","2024-02-28","sample","2024-02-21","2024-02-28",10107,2,92024,1,0.705,0.7045,"REG","REG",1,NA,0.399,0.3989,"REG","REG",1,NA,0.108,0.1076,"REG","REG",1,NA,0.15,0.15,"REG","REG",1,NA,0.519,0.5187,"REG","REG",1,NA,0.009,0.0087,"ND","ND",1.03,NA,0.015,0.0151,"LOD","LOD",0.99,NA,0.024,0.0239,"LOD","LOD",1,NA,0.056,0.0555,"REG","REG",1.01,NA,0.026,0.0261,"LOD","LOD",1,NA,0.066,0.066,"REG","REG",1,NA,0.03,0.03,"LOD","LOD",1,NA,0.193,0.1927,"REG","REG",1,NA,0.288,0.2878,"REG","REG",1,NA,0.137,0.1369,"REG","REG",1,NA,0.084,0.0843,"REG","REG",1,NA,0.064,0.0639,"REG","REG",1,NA,0.026,0.0261,"LOD","LOD",1,NA,0.072,0.0717,"LOD","LOD",1,NA,0.048,0.048,"LOD","LOD",1,NA,0.053,0.0527,"REG","REG",1.01,NA,0.125,0.1249,"REG","REG",1,NA,0.104,0.104,"REG","REG",1,NA,0.278,0.2775,"REG","REG",1,NA,0.436,0.4364,"REG","REG",1,NA,1.282,1.2815,"REG","REG",1,NA,0.064,0.0644,"REG","REG",0.99,NA,0.228,0.2285,"REG","REG",1,NA,0.068,0.0675,"REG","REG",1.01,NA,0.018,0.0183,"REG","REG",0.98,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0,5e-4,"ND","ND",0,NA,0.009,0.0089,"LOD","LOD",1.01,NA,0.228,0.2278,"REG","REG",1,NA,0.035,0.0347,"REG","REG",1.01,NA,0.018,0.0176,"REG","REG",1.02,NA,0.066,0.066,"REG","REG",1,NA
"Bartram’s Garden102024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733861","P733861 031524 030624 Bartrams SS","P733861 031524 030624 Bartrams SS.D","2024-03-15","2024-03-06","sample","2024-02-28","2024-03-06",10116,1,102024,1,0.23,0.2302,"REG","REG",1,NA,0.133,0.1328,"REG","REG",1,NA,0.036,0.0359,"REG","REG",1,NA,0.052,0.0511,"REG","REG",1.02,NA,0.134,0.1855,"REG","REG",0.72,NA,0.008,0.0075,"LOD","LOD",1.07,NA,0.005,0.0045,"LOD","LOD",1.11,NA,0.009,0.0079,"LOD","LOD",1.14,NA,0.02,0.0207,"LOD","LOD",0.97,NA,0.009,0.0092,"LOD","LOD",0.98,NA,0.024,0.0242,"REG","REG",0.99,NA,0.012,0.0119,"LOD","LOD",1.01,NA,0.054,0.0538,"REG","REG",1,NA,0.103,0.1031,"REG","REG",1,NA,0.01,0.0096,"ND","ND",1.04,NA,0,0.0061,"REG","ND",0,NA,0.01,0.0078,"LOD","LOD",1.28,NA,0.002,0.0012,"LOD","LOD",1.67,NA,0.005,0.0051,"LOD","LOD",0.98,NA,0.027,0.027,"REG","REG",1,NA,0.023,0.0226,"REG","REG",1.02,NA,0.055,0.0546,"REG","REG",1.01,NA,0.038,0.039,"REG","REG",0.97,NA,0.127,0.1245,"REG","REG",1.02,NA,0.16,0.1607,"REG","REG",1,NA,0.461,0.4491,"REG","REG",1.03,NA,0.067,0.0633,"ULOD","ULOD",1.06,NA,0.086,0.0852,"REG","REG",1.01,NA,0.012,0.0082,"REG","REG",1.46,NA,0.005,0.0048,"ND","ND",1.04,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0.003,0.0036,"REG","REG",0.83,NA,0.006,0.0117,"ND","REG",0.51,NA,0.135,0.1351,"REG","REG",1,NA,0.013,0.0129,"REG","REG",1.01,NA,0.007,0.0064,"REG","REG",1.09,NA,0.056,0.0553,"REG","REG",1.01,NA
"Bartram’s Garden112024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733848","P733848 031624 031324 Bartrams SS","P733848 031624 031324 Bartrams SS.D","2024-03-16","2024-03-13","sample","2024-03-06","2024-03-13",10002,2,112024,1,0.59,0.5899,"REG","REG",1,NA,0.351,0.3499,"REG","REG",1,NA,0.089,0.0888,"REG","REG",1,NA,0.121,0.1201,"REG","REG",1.01,NA,0.461,0.5131,"REG","REG",0.9,NA,0.019,0.019,"LOD","LOD",1,NA,0.012,0.0122,"LOD","LOD",0.98,NA,0.021,0.02,"LOD","LOD",1.05,NA,0.049,0.049,"REG","REG",1,NA,0.018,0.0187,"LOD","LOD",0.96,NA,0.049,0.0495,"REG","REG",0.99,NA,0.03,0.0302,"LOD","LOD",0.99,NA,0.126,0.1253,"REG","REG",1.01,NA,0.285,0.2842,"REG","REG",1,NA,0.01,0.0098,"ND","ND",1.02,NA,0.019,0.0157,"REG","REG",1.21,NA,0.034,0.0323,"LOD","LOD",1.05,NA,0.008,0.0066,"LOD","LOD",1.21,NA,0.025,0.0251,"LOD","LOD",1,NA,0.067,0.0667,"REG","REG",1,NA,0.05,0.0495,"REG","REG",1.01,NA,0.132,0.1319,"REG","REG",1,NA,0.08,0.0806,"REG","REG",0.99,NA,0.28,0.2783,"REG","REG",1.01,NA,0.439,0.4394,"REG","REG",1,NA,1.276,1.2636,"REG","REG",1.01,NA,0.141,0.1363,"ULOD","ULOD",1.03,NA,0.208,0.2072,"REG","REG",1,NA,0.064,0.06,"REG","REG",1.07,NA,0.034,0.0294,"REG","REG",1.16,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0.006,0.0073,"REG","REG",0.82,NA,0.012,0.0313,"REG","REG",0.38,NA,0.288,0.2877,"REG","REG",1,NA,0.036,0.0364,"REG","REG",0.99,NA,0.022,0.0221,"REG","REG",1,NA,0.11,0.1083,"REG","REG",1.02,NA
"Bartram’s Garden122024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726642","P726642 040224 032024 Bartrams SS RR","P726642 040224 032024 Bartrams SS.D","2024-04-02","2024-03-20","sample","2024-03-13","2024-03-20",9656,2,122024,1,0.72,0.7738,"REG","REG",0.93,NA,0.296,0.3172,"REG","REG",0.93,NA,0.11,0.1178,"REG","REG",0.93,NA,0.152,0.1625,"REG","REG",0.94,NA,0.563,0.6593,"REG","REG",0.85,NA,0.033,0.0354,"LOD","LOD",0.93,NA,0.018,0.0189,"LOD","LOD",0.95,NA,0.03,0.0315,"LOD","LOD",0.95,NA,0.074,0.0798,"REG","REG",0.93,NA,0.036,0.0389,"REG","REG",0.93,NA,0.08,0.0858,"REG","REG",0.93,NA,0.041,0.0439,"LOD","LOD",0.93,NA,0.152,0.1632,"REG","REG",0.93,NA,0.242,0.2599,"REG","REG",0.93,NA,0.101,0.1074,"REG","REG",0.94,NA,0.067,0.068,"REG","REG",0.99,NA,0.071,0.0739,"REG","REG",0.96,NA,0.023,0.0236,"LOD","LOD",0.97,NA,0.069,0.0743,"LOD","LOD",0.93,NA,0.064,0.069,"REG","REG",0.93,NA,0.09,0.0961,"REG","REG",0.94,NA,0.14,0.1505,"REG","REG",0.93,NA,0.111,0.12,"REG","REG",0.92,NA,0.317,0.3388,"REG","REG",0.94,NA,0.591,0.6358,"REG","REG",0.93,NA,1.579,1.6837,"REG","REG",0.94,"CHECK",0.152,0.1592,"REG","REG",0.95,NA,0.343,0.3673,"REG","REG",0.93,NA,0.006,0.0068,"ND","ND",0.88,NA,0.013,0.0097,"LOD","LOD",1.34,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0.01,0.0113,"REG","REG",0.88,NA,0.011,0.0324,"REG","REG",0.34,NA,0.333,0.3576,"REG","REG",0.93,NA,0.026,0.028,"REG","REG",0.93,NA,0.017,0.0182,"REG","REG",0.93,NA,0.216,0.2305,"REG","REG",0.94,NA
"Bartram’s Garden152024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733856","P733856 041224 041024 Bartrams SS","P733856 041224 041024 Bartrams SS.D","2024-04-12","2024-04-10","sample","2024-04-03","2024-04-10",10028,2,152024,1,0.456,0.4559,"REG","REG",1,NA,0.24,0.24,"REG","REG",1,NA,0.068,0.0679,"REG","REG",1,NA,0.093,0.0932,"REG","REG",1,NA,0.402,0.4015,"REG","REG",1,NA,0.023,0.0227,"LOD","LOD",1.01,NA,0.012,0.0122,"LOD","LOD",0.98,NA,0.014,0.0138,"LOD","LOD",1.01,NA,0.017,0.0175,"LOD","LOD",0.97,NA,0.019,0.0188,"LOD","LOD",1.01,NA,0.042,0.0416,"REG","REG",1.01,NA,0.018,0.0181,"LOD","LOD",0.99,NA,0.088,0.0885,"REG","REG",0.99,NA,0.135,0.1355,"REG","REG",1,NA,0.01,0.0097,"ND","ND",1.03,NA,0.016,0.0156,"REG","REG",1.03,NA,0.041,0.0413,"LOD","LOD",0.99,NA,0.038,0.0377,"LOD","LOD",1.01,NA,0.048,0.0482,"LOD","LOD",1,NA,0.036,0.0363,"LOD","LOD",0.99,NA,0.023,0.0232,"LOD","LOD",0.99,NA,0.072,0.0723,"REG","REG",1,NA,0.059,0.0587,"LOD","LOD",1.01,NA,0.17,0.1703,"REG","REG",1,NA,0.203,0.2033,"REG","REG",1,NA,0.603,0.6031,"REG","REG",1,NA,0.09,0.0901,"REG","REG",1,NA,0.168,0.168,"REG","REG",1,NA,0.027,0.0272,"REG","REG",0.99,NA,0.007,0.0067,"LOD","LOD",1.04,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0.005,0.0055,"REG","REG",0.91,NA,0.029,0.0291,"REG","REG",1,NA,0.201,0.2009,"REG","REG",1,NA,0.028,0.028,"REG","REG",1,NA,0.018,0.0177,"REG","REG",1.02,NA,0.057,0.057,"REG","REG",1,NA
"Bartram’s Garden162024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733880","P733880 042624 041724 Bartrams SS","P733880 042624 041724 Bartrams SS.D","2024-04-26","2024-04-17","sample","2024-04-10","2024-04-17",10185,2,162024,1,0.456,0.4559,"REG","REG",1,NA,0.224,0.224,"REG","REG",1,NA,0.062,0.062,"REG","REG",1,NA,0.097,0.0969,"REG","REG",1,NA,0.274,0.2742,"REG","REG",1,NA,0.022,0.0224,"LOD","LOD",0.98,NA,0.007,0.0072,"ND","ND",0.97,NA,0.017,0.0169,"LOD","LOD",1.01,NA,0.038,0.0379,"LOD","LOD",1,NA,0.019,0.0185,"LOD","LOD",1.03,NA,0.057,0.0573,"REG","REG",0.99,NA,0.018,0.0179,"LOD","LOD",1.01,NA,0.1,0.0998,"REG","REG",1,NA,0.153,0.153,"REG","REG",1,NA,0.05,0.0503,"REG","REG",0.99,NA,0.044,0.044,"REG","REG",1,NA,0.036,0.0359,"LOD","LOD",1,NA,0.016,0.0159,"LOD","LOD",1.01,NA,0.034,0.0344,"LOD","LOD",0.99,NA,0.042,0.0417,"LOD","LOD",1.01,NA,0.046,0.0457,"REG","REG",1.01,NA,0.084,0.0843,"REG","REG",1,NA,0.069,0.0693,"LOD","LOD",1,NA,0.192,0.1916,"REG","REG",1,NA,0.341,0.3411,"REG","REG",1,NA,0.893,0.893,"REG","REG",1,NA,0.151,0.1512,"REG","REG",1,NA,0.207,0.2067,"REG","REG",1,NA,0.027,0.0268,"REG","REG",1.01,NA,0.007,0.0066,"LOD","LOD",1.06,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0,5e-4,"ND","ND",0,NA,0.018,0.0177,"LOD","LOD",1.02,NA,0.325,0.3249,"REG","REG",1,NA,0.028,0.0275,"REG","REG",1.02,NA,0.013,0.0131,"REG","REG",0.99,NA,0.117,0.1169,"REG","REG",1,NA
"Bartram’s Garden172024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726669","P726669 042724 042424 Bartrams SS","P726669 042724 042424 Bartrams SS.D","2024-04-27","2024-04-24","sample","2024-04-17","2024-04-24",9810,2,172024,1,0.32,0.3204,"REG","REG",1,NA,0.213,0.2134,"REG","REG",1,NA,0.044,0.044,"REG","REG",1,NA,0.068,0.0684,"REG","REG",0.99,NA,0.228,0.2283,"REG","REG",1,NA,0.009,0.009,"ND","ND",1,NA,0.007,0.0075,"ND","ND",0.93,NA,0.011,0.0105,"LOD","LOD",1.05,NA,0.029,0.0286,"LOD","LOD",1.01,NA,0.012,0.0115,"LOD","LOD",1.04,NA,0.042,0.0425,"REG","REG",0.99,NA,0.012,0.0124,"LOD","LOD",0.97,NA,0.077,0.0773,"REG","REG",1,NA,0.098,0.0977,"REG","REG",1,NA,0.042,0.0425,"REG","REG",0.99,NA,0.029,0.0287,"REG","REG",1.01,NA,0.042,0.0423,"LOD","LOD",0.99,NA,0.017,0.0165,"LOD","LOD",1.03,NA,0.042,0.0425,"LOD","LOD",0.99,NA,0.031,0.0309,"LOD","LOD",1,NA,0.027,0.0271,"LOD","LOD",1,NA,0.06,0.0603,"REG","REG",1,NA,0.048,0.048,"LOD","LOD",1,NA,0.149,0.1492,"REG","REG",1,NA,0.208,0.2078,"REG","REG",1,NA,0.558,0.5582,"REG","REG",1,NA,0.081,0.081,"REG","REG",1,NA,0.161,0.161,"REG","REG",1,NA,0.028,0.0278,"REG","REG",1.01,NA,0.007,0.0068,"LOD","LOD",1.03,NA,0.004,0.0035,"ND","ND",1.14,NA,0.002,0.0017,"ND","ND",1.18,NA,0,5e-4,"ND","ND",0,NA,0.013,0.0127,"LOD","LOD",1.02,NA,0.337,0.3373,"REG","REG",1,NA,0.019,0.0191,"REG","REG",0.99,NA,0.009,0.0091,"REG","REG",0.99,NA,0.16,0.1602,"REG","REG",1,NA
"Bartram’s Garden182024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726605","P726605 051124 050124 Bartrams SS.D","P726605 051124 050124 Bartrams SS.D","2024-05-11","2024-05-01","sample","2024-04-24","2024-05-01",10184,2,182024,1,0.629,0.6291,"REG","REG",1,NA,0.269,0.27,"REG","REG",1,NA,0.091,0.0913,"REG","REG",1,NA,0.132,0.1318,"REG","REG",1,NA,0.412,0.4124,"REG","REG",1,NA,0.026,0.0261,"LOD","LOD",1,NA,0.018,0.018,"LOD","LOD",1,NA,0.02,0.0203,"LOD","LOD",0.99,NA,0.052,0.0517,"REG","REG",1.01,NA,0.03,0.0296,"REG","REG",1.01,NA,0.065,0.0646,"REG","REG",1.01,NA,0.03,0.0298,"LOD","LOD",1.01,NA,0.163,0.1634,"REG","REG",1,NA,0.213,0.2134,"REG","REG",1,NA,0.129,0.1291,"REG","REG",1,NA,0.085,0.0847,"REG","REG",1,NA,0.085,0.0848,"REG","REG",1,NA,0.032,0.0318,"LOD","LOD",1.01,NA,0.088,0.0884,"REG","REG",1,NA,0.048,0.0476,"LOD","LOD",1.01,NA,0.082,0.0817,"REG","REG",1,NA,0.111,0.1113,"REG","REG",1,NA,0.104,0.104,"REG","REG",1,NA,0.251,0.2515,"REG","REG",1,NA,0.19,0.1914,"REG","REG",0.99,NA,1.342,1.3467,"REG","REG",1,NA,0.18,0.1808,"REG","REG",1,NA,0.258,0.2584,"REG","REG",1,NA,0.049,0.0474,"REG","REG",1.03,NA,0.007,0.0059,"LOD","LOD",1.19,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0.009,0.009,"REG","REG",1,NA,0.02,0.0196,"REG","REG",1.02,NA,0.339,0.3391,"REG","REG",1,NA,0.028,0.0257,"REG","REG",1.09,NA,0.013,0.0131,"REG","REG",0.99,NA,0.046,0.0463,"REG","REG",0.99,NA
