"site","site_type","site_id","variable_name","summary","voc_name","variable_name_old","mw","category_1","category_2","category_2no","sort_in_category"
"Bartram’s Garden","stationary",1,"trichloromonofluoromethane","0.5 [0.3, 0.9]","Trichlorofluoromethane","trichlorofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",8,4
"Bartram’s Garden","stationary",1,"benzene_1_2_dichloro","0.1 [0.1, 0.2]","1,2-dichlorobenzene","benz12chloro",147.01,"Benzene Derivatives","Chlorinated Compounds",8,5
"Essington & Mingo","stationary",2,"benzene","1.1 [0.7, 1.4]","Benzene","benzene",78.11,"BTEX","BTEX",1,1
"Essington & Mingo","stationary",2,"toluene","1.9 [1.5, 2.7]","Toluene","toluene",92.14,"BTEX","BTEX",1,2
"Essington & Mingo","stationary",2,"ethylbenzene","0.5 [0.3, 0.6]","Ethylbenzene","etbenz",106.17,"BTEX","BTEX",1,3
"Essington & Mingo","stationary",2,"m_p_xylene_2","3.2 [2.4, 3.7]","(m+p)-Xylenes","mpxylene",106.16,"BTEX","BTEX",1,4
"Essington & Mingo","stationary",2,"o_xylene","0.7 [0.5, 0.8]","o-Xylene","oxylene",106.16,"BTEX","BTEX",1,5
"Essington & Mingo","stationary",2,"xylenes","3.8 [2.8, 4.5]","Total Xylenes","xylenes",106.16,"BTEX","BTEX",1,6
"Essington & Mingo","stationary",2,"benzene_1_4_diethyl","0.1 [0.0, 0.1]","1,4-Diethylbenzene","benzene_1_4_diethyl",134.221,"Benzene Derivatives","Alkylbenzenes",2,1
"Essington & Mingo","stationary",2,"benzene_1_2_3_trimethyl","0.1 [0.1, 0.1]","1,2,3-Trimethylbenzene","benzene_1_2_3_trimethyl",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benzene_1_ethyl_2_methyl","0.1 [0.1, 0.1]","1-Ethyl-2-Methylbenzene","benz1ethyl2methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,3
"Essington & Mingo","stationary",2,"benzene_1_ethyl_3_methyl","0.3 [0.2, 0.3]","1-Ethyl-3-Methylbenzene","benz1ethyl3methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,4
"Essington & Mingo","stationary",2,"benzene_1_ethyl_4_methyl","0.1 [0.1, 0.1]","1-Ethyl-4-Methylbenzene","benz1ethyl4methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,5
"Essington & Mingo","stationary",2,"benzene_propyl","0.1 [0.1, 0.1]","Propylbenzene","propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,6
"Essington & Mingo","stationary",2,"mesitylene","0.3 [0.2, 0.3]","Mesitylene","mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,7
"Essington & Mingo","stationary",2,"n_hexane","0.8 [0.5, 1.2]","n-Hexane","hexane",86.18,"Alkanes","C6-C9 Alkanes",3,1
"Essington & Mingo","stationary",2,"heptane","0.6 [0.5, 0.9]","Heptane","heptane",100.21,"Alkanes","C6-C9 Alkanes",3,2
"Essington & Mingo","stationary",2,"octane","0.2 [0.2, 0.4]","Octane","octane",114.23,"Alkanes","C6-C9 Alkanes",3,3
"Essington & Mingo","stationary",2,"nonane","0.3 [0.2, 0.5]","Nonane","nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"Essington & Mingo","stationary",2,"decane","0.3 [0.2, 0.4]","Decane","decane",149.29,"Alkanes","C10-C12 Alkanes",4,1
"Essington & Mingo","stationary",2,"undecane","0.4 [0.3, 0.5]","Undecane","undecane",156.31,"Alkanes","C10-C12 Alkanes",4,2
"Essington & Mingo","stationary",2,"dodecane","0.2 [0.1, 0.3]","Dodecane","dodecane",170.34,"Alkanes","C10-C12 Alkanes",4,3
"Essington & Mingo","stationary",2,"butane_2_methyl","0.6 [0.3, 1.0]","Isopentane","butane_2_methyl",72.151,"Alkanes","Other Alkanes",5,1
"Essington & Mingo","stationary",2,"pentane_2_methyl","5.2 [3.3, 7.5]","Isohexane","pentane_2_methyl",86.178,"Alkanes","Other Alkanes",5,2
"Essington & Mingo","stationary",2,"hexane_2_methyl","0.6 [0.4, 0.8]","2-Methylhexane","hexane2methyl",100.2,"Alkanes","Other Alkanes",5,3
"Essington & Mingo","stationary",2,"hexane_3_methyl","1.3 [1.0, 1.8]","3-Methylhexane","hexane_3_methyl",100.205,"Alkanes","Other Alkanes",5,4
"Essington & Mingo","stationary",2,"heptane_3_methyl","0.4 [0.3, 0.6]","3-Methylheptane","heptane3methyl",114.23,"Alkanes","Other Alkanes",5,5
"Essington & Mingo","stationary",2,"pentane_3_methyl","1.9 [1.2, 2.7]","3-Methylpentane","pentane_3_methyl",86.178,"Alkanes","Other Alkanes",5,6
"Essington & Mingo","stationary",2,"pentane_2_4_dimethyl","0.3 [0.2, 0.3]","2,4-Dimethylpentane","pentane_2_4_dimethyl",100.205,"Alkanes","Other Alkanes",5,7
"Essington & Mingo","stationary",2,"pentane_2_3_4_trimethyl","0.3 [0.2, 0.4]","2,3,4-Trimethylpentane","pentane_2_3_4_trimethyl",114.232,"Alkanes","Other Alkanes",5,8
"Essington & Mingo","stationary",2,"cyclohexane_methyl","0.9 [0.7, 1.2]","Methylcyclohexane","cyclohexane_methyl",98.189,"Cyclohexanes","Other Alkanes",5,9
"Essington & Mingo","stationary",2,"x1_hexene","0.2 [0.1, 0.3]","1-Hexene","x1_hexene",84.162,"Alkenes","Alkenes",6,1
