variable_name,flag_type,count,percentage,n_perc,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
mesitylene,nd,0,0,0 (0%),Mesitylene,mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
mesitylene,lod,5,1.1,5 (1.1%),Mesitylene,mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
mesitylene,reg,449,98.9,449 (98.9%),Mesitylene,mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
mesitylene,ulod,0,0,0 (0%),Mesitylene,mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
n_hexane,nd,0,0,0 (0%),n-Hexane,hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
n_hexane,lod,0,0,0 (0%),n-Hexane,hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
n_hexane,reg,451,99.3,451 (99.3%),n-Hexane,hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
n_hexane,ulod,3,0.7,3 (0.7%),n-Hexane,hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
heptane,nd,1,0.2,1 (0.2%),Heptane,heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
heptane,lod,0,0,0 (0%),Heptane,heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
heptane,reg,451,99.3,451 (99.3%),Heptane,heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
heptane,ulod,2,0.4,2 (0.4%),Heptane,heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
octane,nd,4,0.9,4 (0.9%),Octane,octane,114.23,Alkanes,C6-C9 Alkanes,3,3
octane,lod,7,1.5,7 (1.5%),Octane,octane,114.23,Alkanes,C6-C9 Alkanes,3,3
octane,reg,441,97.1,441 (97.1%),Octane,octane,114.23,Alkanes,C6-C9 Alkanes,3,3
octane,ulod,2,0.4,2 (0.4%),Octane,octane,114.23,Alkanes,C6-C9 Alkanes,3,3
nonane,nd,26,5.7,26 (5.7%),Nonane,nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
nonane,lod,12,2.6,12 (2.6%),Nonane,nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
nonane,reg,414,91.2,414 (91.2%),Nonane,nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
nonane,ulod,2,0.4,2 (0.4%),Nonane,nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
decane,nd,3,0.7,3 (0.7%),Decane,decane,149.29,Alkanes,C10-C12 Alkanes,4,1
decane,lod,100,22,100 (22%),Decane,decane,149.29,Alkanes,C10-C12 Alkanes,4,1
decane,reg,350,77.1,350 (77.1%),Decane,decane,149.29,Alkanes,C10-C12 Alkanes,4,1
decane,ulod,1,0.2,1 (0.2%),Decane,decane,149.29,Alkanes,C10-C12 Alkanes,4,1
undecane,nd,8,1.8,8 (1.8%),Undecane,undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
undecane,lod,219,48.2,219 (48.2%),Undecane,undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
undecane,reg,227,50,227 (50%),Undecane,undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
undecane,ulod,0,0,0 (0%),Undecane,undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
dodecane,nd,5,1.1,5 (1.1%),Dodecane,dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
dodecane,lod,287,63.2,287 (63.2%),Dodecane,dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
dodecane,reg,162,35.7,162 (35.7%),Dodecane,dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
dodecane,ulod,0,0,0 (0%),Dodecane,dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
butane_2_methyl,nd,4,0.9,4 (0.9%),Isopentane,butane_2_methyl,72.151,Alkanes,Other Alkanes,5,1
butane_2_methyl,lod,0,0,0 (0%),Isopentane,butane_2_methyl,72.151,Alkanes,Other Alkanes,5,1
butane_2_methyl,reg,216,47.6,216 (47.6%),Isopentane,butane_2_methyl,72.151,Alkanes,Other Alkanes,5,1
butane_2_methyl,ulod,234,51.5,234 (51.5%),Isopentane,butane_2_methyl,72.151,Alkanes,Other Alkanes,5,1
pentane_2_methyl,nd,0,0,0 (0%),Isohexane,pentane_2_methyl,86.178,Alkanes,Other Alkanes,5,2
pentane_2_methyl,lod,0,0,0 (0%),Isohexane,pentane_2_methyl,86.178,Alkanes,Other Alkanes,5,2
pentane_2_methyl,reg,408,89.9,408 (89.9%),Isohexane,pentane_2_methyl,86.178,Alkanes,Other Alkanes,5,2
pentane_2_methyl,ulod,46,10.1,46 (10.1%),Isohexane,pentane_2_methyl,86.178,Alkanes,Other Alkanes,5,2
hexane_2_methyl,nd,0,0,0 (0%),2-Methylhexane,hexane2methyl,100.2,Alkanes,Other Alkanes,5,3
hexane_2_methyl,lod,13,2.9,13 (2.9%),2-Methylhexane,hexane2methyl,100.2,Alkanes,Other Alkanes,5,3
hexane_2_methyl,reg,435,95.8,435 (95.8%),2-Methylhexane,hexane2methyl,100.2,Alkanes,Other Alkanes,5,3
hexane_2_methyl,ulod,6,1.3,6 (1.3%),2-Methylhexane,hexane2methyl,100.2,Alkanes,Other Alkanes,5,3
hexane_3_methyl,nd,0,0,0 (0%),3-Methylhexane,hexane_3_methyl,100.205,Alkanes,Other Alkanes,5,4
hexane_3_methyl,lod,8,1.8,8 (1.8%),3-Methylhexane,hexane_3_methyl,100.205,Alkanes,Other Alkanes,5,4
hexane_3_methyl,reg,437,96.3,437 (96.3%),3-Methylhexane,hexane_3_methyl,100.205,Alkanes,Other Alkanes,5,4
hexane_3_methyl,ulod,9,2,9 (2%),3-Methylhexane,hexane_3_methyl,100.205,Alkanes,Other Alkanes,5,4
heptane_3_methyl,nd,0,0,0 (0%),3-Methylheptane,heptane3methyl,114.23,Alkanes,Other Alkanes,5,5
heptane_3_methyl,lod,73,16.1,73 (16.1%),3-Methylheptane,heptane3methyl,114.23,Alkanes,Other Alkanes,5,5
heptane_3_methyl,reg,377,83,377 (83%),3-Methylheptane,heptane3methyl,114.23,Alkanes,Other Alkanes,5,5
heptane_3_methyl,ulod,4,0.9,4 (0.9%),3-Methylheptane,heptane3methyl,114.23,Alkanes,Other Alkanes,5,5
