variable_name_messy,Overall,High,Low,p,test,variable_name,voc_name,mw,category_1,category_2,category_2no,sort_in_category
x2_pentene_z_cis (mean (SD)),0.05 (0.03),0.05 (0.03),0.05 (0.04),0.605,,x2_pentene_z_cis,cis-2-Pentene,70.1329,Alkenes,Alkenes,6,2
x1_3_butadiene_2_methyl (mean (SD)),0.04 (0.04),0.04 (0.04),0.04 (0.04),0.516,,x1_3_butadiene_2_methyl,Isoprene,68.12,Alkenes,Alkenes,6,3
x2_hexanone (mean (SD)),0.01 (0.02),0.02 (0.02),0.01 (0.02),0.575,,x2_hexanone,2-Hexanone,100.161,Ketones,Ketones,7,1
methyl_isobutyl_ketone (mean (SD)),0.01 (0.02),0.01 (0.02),0.01 (0.02),0.351,,methyl_isobutyl_ketone,Methyl isobutyl ketone,100.16,Ketones,Ketones,7,2
trichloromethane (mean (SD)),0.19 (0.07),0.20 (0.09),0.18 (0.04),0.369,,trichloromethane,Chloroform,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
carbon_tetrachloride (mean (SD)),1.87 (0.51),1.86 (0.57),1.87 (0.47),0.958,,carbon_tetrachloride,Carbon tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
tce (mean (SD)),0.14 (0.06),0.12 (0.05),0.15 (0.06),0.138,,tce,Tetrachloroethylene,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
trichlorofluoromethane (mean (SD)),0.76 (0.47),0.70 (0.52),0.80 (0.43),0.501,,trichlorofluoromethane,Trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
benz12chloro (mean (SD)),0.15 (0.07),0.15 (0.07),0.15 (0.07),0.943,,benz12chloro,"1,2-dichlorobenzene",147.01,Benzene Derivatives,Chlorinated Compounds,8,5
n,46,20,26,,,n,NA,NA,NA,NA,NA,NA
