Box number,Tube number,Blanked prior,Date blanked,Date shipped to PA,Date received in ID,Days in RETURN transit,Time collected (DAYS),Purged,RUN/SPLIT TYPE,Qedited by,added to database,Q-Edit Method,MULTIPLIER,"FILE NAME (TUBE # + TODAY DATE + END DATE + LOCATION + (FB,LAB BLANK,DUP,etc)",LOCATION NUMBER,LOCATION,LOCATION LAT/LONG,Sample Type,START DATE,START TIME,User set up,END DATE,END TIME,User take down,COMMENTS,Date return shipped to ID,Tracking #,MONTH,USE SAMPLE
46,P726607,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P726607 031524 030624 Point Breeze Near SS,5,Point Breeze Near,"39.92624784, -75.1923165",Sample,2/28/2024,10:15:00 AM,LF,3/6/2024,10:53:00 AM,KDM,,3/13/2024,,,
46,P726609,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P726609 031524 030624 Point Breeze Mid SS,6,Point Breeze Mid,"39.92771763, -75.1873965",Sample,2/28/2024,10:21:00 AM,LF,3/6/2024,11:01:00 AM,ST,,3/13/2024,,,
46,P726610,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P726610 031524 030624 Point Breeze Far SS,7,Point Breeze Far,"39.93094655, -75.1829941",Sample,2/28/2024,10:25:00 AM,KDM,3/6/2024,11:07:00 AM,KDM,,3/13/2024,,,
46,P726615,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P726615 031524 030624 Ritner SS,8,Ritner,"39.92296389, -75.186874",Sample,2/28/2024,10:33:00 AM,KDM,3/6/2024,11:15:00 AM,ST,,3/13/2024,,,
46,P726616,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P726616 031524 030624 Ritner DUP SS,8,Ritner DUP,"39.92296389, -75.186874",Duplicate,2/28/2024,10:33:00 AM,KDM,3/6/2024,11:15:00 AM,ST,,3/13/2024,,,
46,P726617,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,KC (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P726617 031524 030624 26th St SS,9,26th St,"39.91327125, -75.1922011",Sample,2/28/2024,10:43:00 AM,KDM,3/6/2024,11:23:00 AM,KDM,,3/13/2024,,,
46,P726619,Y,24-Jan,2/9/2024,2/29/2024,1,0,Y,no split,LJ (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT022824,1,P726619 022923 022823 26th St FB ,9,26th St FB,"39.91327125, -75.1922011",Field Blank,2/28/2024,10:43:00 AM,KDM,2/28/2024,10:43:00 AM,KDM,,2/28/2024,,,
46,P726620,Y,24-Jan,2/9/2024,2/29/2024,1,0,Y,no split,LJ (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT022824,1,P726620 022923 022823 Lab blank ,,Lab blank,NA,Lab Blank,2/13/2024,,,2/28/2024,,,,2/28/2024,,,
47,P733848,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,LJ (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733848 031624 031324 Bartrams SS,1,Bartrams,"39.92896, -75.212541",Sample,3/6/2024,10:21:00 AM,KDM,3/13/2024,9:03:00 AM,KDM,,3/13/2024,,,
47,P733849,Y,24-Jan,2/9/2024,3/16/2024,1,7,Y,SS,LJ (MAIN),DREXEL MAIN DATABASE 23-24 ,MMT031524,2,P733849 031624 031324 Essington SS,2,Essington,"39.90131732, -75.2250262",Sample,3/6/2024,10:33:00 AM,KDM,3/13/2024,9:16:00 AM,KDM,,3/13/2024,,,
